Nº;Nombre;Total;Por mil (‰)
269;LUANA;  5;0,382
270;LYDIA;  5;0,382
271;MARIA CARMEN;  5;0,382
272;MARWA;  5;0,382
273;NICOLE;  5;0,382
274;NORAH;  5;0,382
275;RANIA;  5;0,382
276;SELENE;  5;0,382
277;VALENTINA;  5;0,382
278;VERA;  5;0,382
279;XIOMARA;  5;0,382
;;;
