Nº;Nombre;Total;Por mil (‰)
1;MARKEL;  80;21,248
2;JULEN;  75;19,92
3;JON;  72;19,124
4;ANDER;  69;18,327
5;OIHAN;  67;17,795
6;LUKEN;  65;17,264
7;AIMAR;  63;16,733
8;MARTIN;  63;16,733
9;OIER;  61;16,202
10;IBAI;  54;14,343
11;AIUR;  52;13,811
12;IZEI;  48;12,749
13;DANEL;  46;12,218
14;IKER;  44;11,687
15;MIKEL;  44;11,687
16;AMETS;  42;11,155
17;UNAX;  38;10,093
18;LUKA;  36;9,562
19;MATEO;  34;9,031
20;PERU;  33;8,765
21;LEO;  32;8,499
22;ENEKO;  31;8,234
23;HODEI;  31;8,234
24;ADEI;  29;7,703
25;IZAN;  29;7,703
26;ANER;  28;7,437
27;PEIO;  28;7,437
28;ARITZ;  27;7,171
29;ALAIN;  26;6,906
30;UNAI;  26;6,906
31;IAN;  25;6,64
32;LIER;  25;6,64
33;HUGO;  24;6,375
34;LUCAS;  24;6,375
35;EKHI;  22;5,843
36;ENZO;  22;5,843
37;LIAM;  22;5,843
38;TELMO;  22;5,843
39;ADRIAN;  21;5,578
40;DANIEL;  21;5,578
41;ERIK;  21;5,578
42;XABIER;  21;5,578
43;BEÑAT;  20;5,312
44;EDER;  20;5,312
45;PAUL;  20;5,312
46;EKAIN;  19;5,046
47;ENAITZ;  19;5,046
48;IÑIGO;  18;4,781
49;ARATZ;  17;4,515
50;EKAITZ;  17;4,515
51;LIHER;  17;4,515
52;DIEGO;  16;4,25
53;EINAR;  16;4,25
54;IRAI;  16;4,25
55;LANDER;  16;4,25
56;MARCO;  16;4,25
57;ALEJANDRO;  15;3,984
58;ALEX;  15;3,984
59;EKI;  15;3,984
60;AITOR;  13;3,453
61;ASIER;  13;3,453
62;NIKO;  13;3,453
63;THIAGO;  13;3,453
64;BRUNO;  12;3,187
65;DAVID;  12;3,187
66;HEGOI;  12;3,187
67;NEIZAN;  12;3,187
68;YERAY;  12;3,187
69;ADAM;  11;2,922
70;DYLAN;  11;2,922
71;IBON;  11;2,922
72;KIMETZ;  11;2,922
73;NICOLAS;  11;2,922
74;GORKA;  10;2,656
75;MANEX;  10;2,656
76;MARCOS;  10;2,656
77;OINATZ;  10;2,656
78;TOMAS;  10;2,656
79;URKO;  10;2,656
80;AGER;  9;2,39
81;ARETX;  9;2,39
82;EKAI;  9;2,39
83;EÑAUT;  9;2,39
84;GARI;  9;2,39
85;JAVIER;  9;2,39
86;KAI;  9;2,39
87;MANUEL;  9;2,39
88;PABLO;  9;2,39
89;SANTIAGO;  9;2,39
90;AINGERU;  8;2,125
91;GABRIEL;  8;2,125
92;GAEL;  8;2,125
93;KERMAN;  8;2,125
94;MARIO;  8;2,125
95;NOAH;  8;2,125
96;ADUR;  7;1,859
97;AMIR;  7;1,859
98;ENAI;  7;1,859
99;GONZALO;  7;1,859
100;INAR;  7;1,859
101;LUCA;  7;1,859
102;MAREN;  7;1,859
103;MOHAMED;  7;1,859
104;RAYAN;  7;1,859
105;SENDOA;  7;1,859
106;ALEXANDER;  6;1,594
107;ALVARO;  6;1,594
108;ANGEL;  6;1,594
109;ENDIKA;  6;1,594
110;IAGO;  6;1,594
111;IMRAN;  6;1,594
112;IVAN;  6;1,594
113;JOSU;  6;1,594
114;JUAN;  6;1,594
115;KENAI;  6;1,594
116;KEPA;  6;1,594
117;KILIAN;  6;1,594
118;MARC;  6;1,594
119;MARKO;  6;1,594
120;SAMUEL;  6;1,594
121;XUBAN;  6;1,594
122;ADAY;  5;1,328
123;ALEIX;  5;1,328
124;AMETZ;  5;1,328
125;ARKAITZ;  5;1,328
126;EIDEN;  5;1,328
127;EUKEN;  5;1,328
128;GILEN;  5;1,328
129;HAITZ;  5;1,328
130;HARON;  5;1,328
131;INHAR;  5;1,328
132;ISAAC;  5;1,328
133;JOKIN;  5;1,328
134;JORGE;  5;1,328
135;LUKAS;  5;1,328
136;MATIAS;  5;1,328
137;MIGUEL;  5;1,328
138;PAU;  5;1,328
139;ROKE;  5;1,328
140;URIEL;  5;1,328
141;YURI;  5;1,328
;;;
