Nº;Nombre;Total;Por mil (‰)
1;LAIA;  28;25,09
2;NAHIA;  21;18,817
3;IZARO;  19;17,025
4;ANE;  17;15,233
5;IRATI;  16;14,337
6;AIALA;  14;12,545
7;MALEN;  14;12,545
8;MADDI;  13;11,649
9;NORA;  13;11,649
10;ELAIA;  12;10,753
11;JUNE;  11;9,857
12;LUCIA;  11;9,857
13;MARTINA;  11;9,857
14;NOA;  11;9,857
15;HAIZEA;  10;8,961
16;ALAIA;  9;8,065
17;ALBA;  8;7,168
18;CHLOE;  8;7,168
19;EIDER;  8;7,168
20;EMMA;  8;7,168
21;NAROA;  8;7,168
22;SARA;  8;7,168
23;AITANA;  7;6,272
24;DANIELA;  7;6,272
25;JARE;  7;6,272
26;LIBE;  7;6,272
27;NAIA;  7;6,272
28;UDANE;  7;6,272
29;AINHIZE;  6;5,376
30;ANNE;  6;5,376
31;ENARA;  6;5,376
32;IZAR;  6;5,376
33;MIREN;  6;5,376
34;AMAIA;  5;4,48
35;ARIANE;  5;4,48
36;ELENE;  5;4,48
37;ILARGI;  5;4,48
38;IRAIA;  5;4,48
39;IRAIDE;  5;4,48
40;IZADI;  5;4,48
41;MAIALEN;  5;4,48
42;MARA;  5;4,48
43;MARIAM;  5;4,48
44;NEREA;  5;4,48
45;OLIVIA;  5;4,48
46;UXUE;  5;4,48
47;VERA;  5;4,48
;;;
