Nº;Nombre;Total;Por mil (‰)
1;ANE;  327;22,846
2;NAHIA;  281;19,633
3;JUNE;  265;18,515
4;IRATI;  254;17,746
5;IZARO;  230;16,069
6;HAIZEA;  228;15,93
7;LUCIA;  216;15,091
8;UXUE;  201;14,043
9;NOA;  189;13,205
10;PAULA;  177;12,366
11;LAIA;  175;12,227
12;SARA;  174;12,157
13;MAIALEN;  147;10,27
14;NORA;  144;10,061
15;IRAIA;  141;9,851
16;EIDER;  136;9,502
17;NAROA;  132;9,222
18;ALBA;  127;8,873
19;MALEN;  126;8,803
20;AITANA;  123;8,594
21;LEIRE;  117;8,174
22;MADDI;  117;8,174
23;NAIA;  111;7,755
24;ENARA;  109;7,615
25;ANNE;  106;7,406
26;ALAIA;  101;7,057
27;UDANE;  101;7,057
28;SOFIA;  100;6,987
29;DANIELA;  97;6,777
30;AIALA;  96;6,707
31;MARIA;  94;6,567
32;MARTINA;  94;6,567
33;ALAZNE;  93;6,498
34;MAIDER;  92;6,428
35;AINHIZE;  82;5,729
36;CARLA;  82;5,729
37;NEREA;  80;5,589
38;AROA;  78;5,45
39;AMAIA;  75;5,24
40;JARE;  74;5,17
41;EMMA;  73;5,1
42;IXONE;  73;5,1
43;ADRIANA;  70;4,891
44;IRENE;  70;4,891
45;GARAZI;  66;4,611
46;OIHANE;  65;4,541
47;OLAIA;  65;4,541
48;JONE;  64;4,471
49;VALERIA;  64;4,471
50;IRIA;  58;4,052
51;ELAIA;  56;3,913
52;ARIANE;  52;3,633
53;MARA;  52;3,633
54;IRUNE;  50;3,493
55;CLAUDIA;  48;3,354
56;AYA;  47;3,284
57;ELENE;  47;3,284
58;MIREN;  47;3,284
59;AINHOA;  46;3,214
60;OLATZ;  46;3,214
61;VERA;  46;3,214
62;ALAITZ;  45;3,144
63;CHLOE;  45;3,144
64;MAREN;  45;3,144
65;SAIOA;  45;3,144
66;AINARA;  44;3,074
67;IZAR;  43;3,004
68;ILARGI;  42;2,934
69;LIBE;  42;2,934
70;NAIARA;  42;2,934
71;INES;  41;2,865
72;ENERITZ;  39;2,725
73;LUR;  38;2,655
74;MAIA;  37;2,585
75;ZOE;  37;2,585
