Nº;Nombre;Total;Por mil (‰)
1;MADDI;  55;22,578
2;NORA;  54;22,167
3;ANE;  53;21,757
4;LAIA;  51;20,936
5;MALEN;  46;18,883
6;JUNE;  44;18,062
7;NAHIA;  44;18,062
8;MARA;  39;16,01
9;NOA;  35;14,368
10;SARA;  35;14,368
11;ENARA;  33;13,547
12;IRATI;  31;12,726
13;ELENE;  30;12,315
14;JARE;  30;12,315
15;LUCIA;  28;11,494
16;MARTINA;  28;11,494
17;LEA;  26;10,673
18;HAIZEA;  23;9,442
19;MAREN;  22;9,031
20;SOFIA;  22;9,031
21;UXUE;  21;8,621
22;PAULA;  20;8,21
23;ALAIA;  19;7,8
24;ELAIA;  18;7,389
25;IZAR;  18;7,389
26;INTZA;  17;6,979
27;IZARO;  17;6,979
28;LIBE;  17;6,979
29;LUR;  17;6,979
30;NIKOLE;  16;6,568
31;PAULE;  16;6,568
32;EMMA;  15;6,158
33;MARIA;  15;6,158
34;NAIA;  15;6,158
35;NAROA;  15;6,158
36;CHLOE;  12;4,926
37;IRAIA;  12;4,926
38;JULE;  12;4,926
39;LARA;  12;4,926
40;MIA;  12;4,926
41;AITANA;  11;4,516
42;LIA;  11;4,516
43;ALAITZ;  10;4,105
44;AMAIA;  10;4,105
45;ARIANE;  10;4,105
46;EIDER;  10;4,105
47;MAIA;  10;4,105
48;NILE;  10;4,105
49;ALBA;  9;3,695
50;CARLA;  9;3,695
51;LEIRE;  9;3,695
52;OLIVIA;  9;3,695
53;VEGA;  9;3,695
54;AIORA;  8;3,284
55;IRENE;  8;3,284
56;LOREA;  8;3,284
57;ANA;  7;2,874
58;ARANE;  7;2,874
59;ARHANE;  7;2,874
60;MARINA;  7;2,874
61;SALMA;  7;2,874
62;UDANE;  7;2,874
63;VERA;  7;2,874
64;ANNE;  6;2,463
65;DANIELA;  6;2,463
66;ELENA;  6;2,463
67;INES;  6;2,463
68;JULENE;  6;2,463
69;LAURA;  6;2,463
70;MAIALEN;  6;2,463
71;MARIAM;  6;2,463
72;MIREN;  6;2,463
73;XARE;  6;2,463
74;XUHARE;  6;2,463
75;ADARA;  5;2,053
76;AIALA;  5;2,053
77;AINHOA;  5;2,053
78;ALIZE;  5;2,053
79;ALMA;  5;2,053
80;ANDREA;  5;2,053
81;ARAIA;  5;2,053
82;ARWA;  5;2,053
83;BERA;  5;2,053
84;GABRIELA;  5;2,053
85;ILARGI;  5;2,053
86;JONE;  5;2,053
87;KAIA;  5;2,053
88;KATTALIN;  5;2,053
89;LAIDA;  5;2,053
90;LOLA;  5;2,053
91;NAIARA;  5;2,053
92;NAIRA;  5;2,053
93;NEREA;  5;2,053
94;OIHANE;  5;2,053
95;SUA;  5;2,053
96;VALENTINA;  5;2,053
97;XUNE;  5;2,053
98;ZOE;  5;2,053
