Nº;Nombre;Total;Por mil (‰)
423;ABEL;  7;0,147
424;ANTTON;  7;0,147
425;ARAY;  7;0,147
426;ARGOITZ;  7;0,147
427;ARTURO;  7;0,147
428;BENJAMIN;  7;0,147
429;BERNAT;  7;0,147
430;CHRISTOPHER;  7;0,147
431;DAMIAN;  7;0,147
432;DANI;  7;0,147
433;DEREK;  7;0,147
434;ELIER;  7;0,147
435;FELIPE;  7;0,147
436;FRANCISCO JAVIER;  7;0,147
437;IBRAHIMA;  7;0,147
438;ILIAS;  7;0,147
439;ISAIAS;  7;0,147
440;IZORTZ;  7;0,147
441;JON MIKEL;  7;0,147
442;JUAN PABLO;  7;0,147
443;KELIAN;  7;0,147
444;KYLIAN;  7;0,147
445;MANASES;  7;0,147
446;MATHIAS;  7;0,147
447;NABAR;  7;0,147
448;ROMAN;  7;0,147
449;SALIM;  7;0,147
450;UNATZ;  7;0,147
451;XOEL;  7;0,147
452;YASIN;  7;0,147
453;YUSEF;  7;0,147
454;AGUSTIN;  6;0,126
455;ANDIMA;  6;0,126
456;ANDREW;  6;0,126
457;AREN;  6;0,126
458;ASEL;  6;0,126
459;BRAHIM;  6;0,126
460;DAREK;  6;0,126
461;DAVID ANDREI;  6;0,126
462;EITHAN;  6;0,126
463;EMILIO;  6;0,126
464;ENDAITZ;  6;0,126
465;ESTEBAN;  6;0,126
466;EZEQUIEL;  6;0,126
467;FABIO;  6;0,126
468;HEREN;  6;0,126
469;IGARKI;  6;0,126
470;ILLAN;  6;0,126
471;IOSU;  6;0,126
472;IRKUS;  6;0,126
473;ISHAK;  6;0,126
474;IULIAN;  6;0,126
475;JAD;  6;0,126
476;JADEN;  6;0,126
477;JOAN;  6;0,126
478;JON ANDONI;  6;0,126
479;JONAY;  6;0,126
480;JORDAN;  6;0,126
481;JOSE MARIA;  6;0,126
482;JUAN ANTONIO;  6;0,126
483;JUAN CARLOS;  6;0,126
484;JUAN MANUEL;  6;0,126
485;KILLIAN;  6;0,126
486;KRISTIAN;  6;0,126
487;LEON;  6;0,126
488;LEVI;  6;0,126
489;LOUAY;  6;0,126
490;MARKOS;  6;0,126
491;MOUSSA;  6;0,126
492;NEGU;  6;0,126
493;NESTOR;  6;0,126
494;OSKAR;  6;0,126
495;PAULO;  6;0,126
496;RAMSES;  6;0,126
497;ROMEO;  6;0,126
498;SAID;  6;0,126
499;STEVEN;  6;0,126
500;SUGAR;  6;0,126
501;SUSTRAI;  6;0,126
502;THEO;  6;0,126
503;VALENTIN;  6;0,126
504;XAVIER;  6;0,126
505;YANNICK;  6;0,126
506;ZIYAD;  6;0,126
507;ABDERRAHMAN;  5;0,105
508;ADIRAN;  5;0,105
509;AIRAM;  5;0,105
510;ALEXIS;  5;0,105
511;ALFREDO;  5;0,105
512;ANDDE;  5;0,105
513;ARIEL;  5;0,105
514;ARNAITZ;  5;0,105
515;AURKEN;  5;0,105
516;BADR;  5;0,105
517;CALEB;  5;0,105
518;CAYETANO;  5;0,105
519;EDGAR;  5;0,105
520;EGAN;  5;0,105
521;ELAI;  5;0,105
522;ENOL;  5;0,105
523;EYDAN;  5;0,105
524;GERARD;  5;0,105
525;GIOVANNI;  5;0,105
526;GONZAGA;  5;0,105
527;HANOT;  5;0,105
528;INAXIO;  5;0,105
529;ISSEY;  5;0,105
530;JACOB;  5;0,105
531;JAN;  5;0,105
532;JOHAN;  5;0,105
533;JOSE IGNACIO;  5;0,105
534;JULIAN;  5;0,105
535;JUSTIN;  5;0,105
536;KENNETH;  5;0,105
537;LAIN;  5;0,105
538;MARIANO;  5;0,105
539;MARTXELO;  5;0,105
540;MATTIN;  5;0,105
541;MAXIMO;  5;0,105
542;MOHAMED ALI;  5;0,105
543;MOUHAMED;  5;0,105
544;NAHUEL;  5;0,105
545;NATXO;  5;0,105
546;NEYZAN;  5;0,105
547;OÑATZ;  5;0,105
548;ORHI;  5;0,105
549;RIYAD;  5;0,105
550;ROBIN;  5;0,105
551;SANTI;  5;0,105
552;TELLO;  5;0,105
553;THOMAS;  5;0,105
554;TIRSO;  5;0,105
555;URKI;  5;0,105
556;VICTOR MANUEL;  5;0,105
557;XEBER;  5;0,105
558;XIAN;  5;0,105
559;YASSINE;  5;0,105
560;YOUSEF;  5;0,105
