Nº;Nombre;Total;Por mil (‰)
325;EKIA;  7;0,218
326;ENEKA;  7;0,218
327;FATIMA;  7;0,218
328;GALA;  7;0,218
329;JIMENA;  7;0,218
330;KATIA;  7;0,218
331;KRISTINA;  7;0,218
332;MAITENA;  7;0,218
333;MANUELA;  7;0,218
334;MARIA TERESA;  7;0,218
335;MAYI;  7;0,218
336;MERCEDES;  7;0,218
337;MIRENE;  7;0,218
338;NAOMI;  7;0,218
339;NAYRA;  7;0,218
340;OHIANE;  7;0,218
341;ONINTZE;  7;0,218
342;RAKEL;  7;0,218
343;RANIA;  7;0,218
344;SAMARA;  7;0,218
345;UMA;  7;0,218
346;UZURI;  7;0,218
347;XUBANE;  7;0,218
348;ALLENDE;  6;0,187
349;ANI;  6;0,187
350;ANNA;  6;0,187
351;ARANE;  6;0,187
352;AZAHARA;  6;0,187
353;DUNA;  6;0,187
354;DUNIA;  6;0,187
355;DUNIXE;  6;0,187
356;EDITH;  6;0,187
357;ELIXABETE;  6;0,187
358;ERIN;  6;0,187
359;GOIZEDER;  6;0,187
360;GURUTZE;  6;0,187
361;ITXARO;  6;0,187
362;IZARNE;  6;0,187
363;JASONE;  6;0,187
364;JUGATX;  6;0,187
365;KAREN;  6;0,187
366;KATRIN;  6;0,187
367;KHADIJA;  6;0,187
368;KLARA;  6;0,187
369;LETICIA;  6;0,187
370;LILI;  6;0,187
371;LOLA;  6;0,187
372;MARIA LUCIA;  6;0,187
373;MARIAM;  6;0,187
374;MARIANA;  6;0,187
375;MIREYA;  6;0,187
376;NINBE;  6;0,187
377;OHIANA;  6;0,187
378;OLGA;  6;0,187
379;SARE;  6;0,187
380;UXURI;  6;0,187
381;VEGA;  6;0,187
382;AFRIKA;  5;0,156
383;AICHA;  5;0,156
384;AINIZE;  5;0,156
385;ANARI;  5;0,156
386;ARA;  5;0,156
387;ARALE;  5;0,156
388;ARIADNE;  5;0,156
389;ARIANNA;  5;0,156
390;CATALINA;  5;0,156
391;CHENOA;  5;0,156
392;CLOE;  5;0,156
393;DANA;  5;0,156
394;DANAE;  5;0,156
395;DARA;  5;0,156
396;ELIA;  5;0,156
397;EURI;  5;0,156
398;GEMA;  5;0,156
399;IHARA;  5;0,156
400;IREA;  5;0,156
401;JANET;  5;0,156
402;JOHANA;  5;0,156
403;KEIRA;  5;0,156
404;LEILA;  5;0,156
405;LENA;  5;0,156
406;LINA;  5;0,156
407;LOURDES;  5;0,156
408;MADALEN;  5;0,156
409;MAIXA;  5;0,156
410;MARIA CRISTINA;  5;0,156
411;MARIA JESUS;  5;0,156
412;MARIÑE;  5;0,156
413;MICHELLE;  5;0,156
414;NAIKE;  5;0,156
415;NAIMA;  5;0,156
416;NAYLA;  5;0,156
417;NORAH;  5;0,156
418;OMAIMA;  5;0,156
419;ONDITZ;  5;0,156
420;PALOMA;  5;0,156
421;VIRGINIA;  5;0,156
422;XENIA;  5;0,156
423;YANIRA;  5;0,156
424;YOLANDA;  5;0,156
425;YUNE;  5;0,156
426;YURENA;  5;0,156
427;ZALOA;  5;0,156
