Nº;Nombre;Total;Por mil (‰)
1;ANE;  939;31,51
2;NORA;  767;25,738
3;JUNE;  747;25,067
4;NAHIA;  690;23,154
5;MADDI;  679;22,785
6;IRATI;  664;22,282
7;SARA;  566;18,993
8;LAIA;  493;16,544
9;MALEN;  466;15,638
10;NOA;  441;14,799
11;UXUE;  437;14,664
12;ELENE;  409;13,725
13;MAREN;  374;12,55
14;LUCIA;  368;12,349
15;ENARA;  339;11,376
16;PAULA;  334;11,208
17;HAIZEA;  331;11,107
18;LEIRE;  320;10,738
19;MAIALEN;  316;10,604
20;JARE;  305;10,235
21;IZARO;  292;9,799
22;MARA;  282;9,463
23;MARTINA;  260;8,725
24;NAROA;  250;8,389
25;IRAIA;  244;8,188
26;NAIA;  242;8,121
27;AITANA;  237;7,953
28;EIDER;  237;7,953
29;IZAR;  221;7,416
30;MARIA;  221;7,416
31;GARAZI;  206;6,913
32;LIBE;  206;6,913
33;ELAIA;  188;6,309
34;ALBA;  183;6,141
35;LUR;  182;6,107
36;ALAIA;  181;6,074
37;UDANE;  177;5,94
38;INTZA;  176;5,906
39;NEREA;  175;5,872
40;AROA;  167;5,604
41;SOFIA;  141;4,732
42;IRENE;  139;4,664
43;CARLA;  137;4,597
44;AMAIA;  131;4,396
45;AIORA;  129;4,329
46;PAULE;  118;3,96
47;LIDE;  112;3,758
48;DANIELA;  111;3,725
49;EMMA;  111;3,725
50;MIREN;  111;3,725
51;ARIANE;  110;3,691
52;OIHANE;  110;3,691
53;CHLOE;  108;3,624
54;AINHOA;  106;3,557
55;ALAITZ;  105;3,523
56;ANNE;  104;3,49
57;INGE;  104;3,49
58;JONE;  104;3,49
59;MAIA;  104;3,49
60;LOREA;  97;3,255
61;LAIDA;  96;3,221
62;LEA;  96;3,221
63;ARHANE;  95;3,188
64;NAIARA;  92;3,087
65;OLAIA;  91;3,054
66;ADRIANA;  88;2,953
67;HELENE;  88;2,953
68;AIALA;  84;2,819
69;ARAITZ;  82;2,752
70;MAIDER;  82;2,752
71;ILARGI;  81;2,718
72;AINARA;  78;2,617
73;IZADI;  76;2,55
74;SAIOA;  76;2,55
75;NIKOLE;  72;2,416
76;JULE;  69;2,315
77;IRAIDE;  68;2,282
78;KATTALIN;  68;2,282
79;INES;  67;2,248
80;IRUNE;  67;2,248
81;OLIVIA;  67;2,248
82;VERA;  65;2,181
83;ARENE;  64;2,148
84;LAURA;  63;2,114
85;MIA;  63;2,114
86;IRIA;  61;2,047
87;CLAUDIA;  60;2,013
88;MARINA;  60;2,013
89;MAITE;  59;1,98
90;MAITANE;  58;1,946
91;JULIA;  57;1,913
92;LIA;  57;1,913
93;JANIRE;  56;1,879
