Nº;Nombre;Total;Por mil (‰)
1;LUCIA;  47;19,848
2;ANE;  41;17,314
3;IRATI;  37;15,625
4;SOFIA;  33;13,936
5;JUNE;  27;11,402
6;NOA;  27;11,402
7;MARIA;  25;10,557
8;VALERIA;  24;10,135
9;NAHIA;  23;9,713
10;AITANA;  22;9,291
11;ALAIA;  22;9,291
12;MARTINA;  22;9,291
13;VEGA;  22;9,291
14;LAIA;  21;8,868
15;SARA;  20;8,446
16;EMMA;  18;7,601
17;IRENE;  18;7,601
18;JULIA;  18;7,601
19;PAULA;  18;7,601
20;ALBA;  17;7,179
21;NAROA;  17;7,179
22;CHLOE;  16;6,757
23;MIA;  15;6,334
24;ADRIANA;  14;5,912
25;AMIRA;  14;5,912
26;CLARA;  14;5,912
27;ELENA;  14;5,912
28;HAIZEA;  14;5,912
29;LARA;  14;5,912
30;NORA;  14;5,912
31;AROA;  13;5,49
32;LEIRE;  13;5,49
33;AMAIA;  12;5,068
34;CARLA;  12;5,068
35;CARMEN;  12;5,068
36;IRAIA;  12;5,068
37;IZARO;  12;5,068
38;CLAUDIA;  11;4,645
39;DANIELA;  11;4,645
40;IRUNE;  11;4,645
41;MADDI;  11;4,645
42;MALEN;  11;4,645
43;MANUELA;  11;4,645
44;MARA;  11;4,645
45;NAIA;  11;4,645
46;SAIOA;  11;4,645
47;UXUE;  11;4,645
48;VERA;  11;4,645
49;EIDER;  10;4,223
50;VICTORIA;  10;4,223
51;AINHOA;  9;3,801
52;ANGELA;  9;3,801
53;ANNE;  9;3,801
54;CANDELA;  9;3,801
55;LINA;  9;3,801
56;NEREA;  9;3,801
57;OLAIA;  9;3,801
58;OLIVIA;  9;3,801
59;ABRIL;  8;3,378
60;AFRICA;  8;3,378
61;AYA;  8;3,378
62;CARLOTA;  8;3,378
63;CELIA;  8;3,378
64;GABRIELA;  8;3,378
65;IZADI;  8;3,378
66;JIMENA;  8;3,378
67;LOLA;  8;3,378
68;LUNA;  8;3,378
69;ARANE;  7;2,956
70;ENARA;  7;2,956
71;GALA;  7;2,956
72;INDIA;  7;2,956
73;LAURA;  7;2,956
74;MAIALEN;  7;2,956
75;MIREN;  7;2,956
76;ALMA;  6;2,534
77;ARIANE;  6;2,534
78;ELAIA;  6;2,534
79;IRIA;  6;2,534
80;JARE;  6;2,534
81;LEYRE;  6;2,534
82;TERESA;  6;2,534
83;ADARA;  5;2,111
84;AINARA;  5;2,111
85;ALAITZ;  5;2,111
86;AMAIUR;  5;2,111
87;ANDREA;  5;2,111
88;BIANCA;  5;2,111
89;CAROLINA;  5;2,111
90;CATALINA;  5;2,111
91;CAYETANA;  5;2,111
92;CLOE;  5;2,111
93;CRISTINA;  5;2,111
94;ELISA;  5;2,111
95;GARAZI;  5;2,111
96;INES;  5;2,111
97;ISABELLA;  5;2,111
98;JONE;  5;2,111
99;LIDIA;  5;2,111
100;MALAK;  5;2,111
101;MAREN;  5;2,111
102;MARWA;  5;2,111
103;NATALIA;  5;2,111
104;OIHANE;  5;2,111
105;RIM;  5;2,111
106;SALMA;  5;2,111
107;TRIANA;  5;2,111
