Nº;Nombre;Total;Por mil (‰)
1;MARTIN;  53;20,361
2;JON;  52;19,977
3;JULEN;  52;19,977
4;MARKEL;  47;18,056
5;OIHAN;  47;18,056
6;AIMAR;  42;16,135
7;LUKA;  42;16,135
8;IBAI;  40;15,367
9;DANEL;  39;14,983
10;UNAX;  34;13,062
11;EKHI;  33;12,678
12;OIER;  31;11,909
13;ANDER;  30;11,525
14;IKER;  28;10,757
15;AIUR;  27;10,373
16;AMETS;  26;9,988
17;MIKEL;  26;9,988
18;TELMO;  26;9,988
19;ENEKO;  25;9,604
20;MATEO;  25;9,604
21;ALAIN;  24;9,22
22;ALEX;  24;9,22
23;LUKEN;  23;8,836
24;PERU;  23;8,836
25;UNAI;  23;8,836
26;ADUR;  22;8,452
27;MANEX;  22;8,452
28;ANER;  19;7,299
29;ADEI;  18;6,915
30;ARATZ;  18;6,915
31;IRAI;  18;6,915
32;EKAIN;  17;6,531
33;IZEI;  17;6,531
34;LEO;  17;6,531
35;HUGO;  16;6,147
36;MARCO;  16;6,147
37;DANIEL;  15;5,763
38;EKI;  15;5,763
39;KAI;  15;5,763
40;LUCAS;  15;5,763
41;BEÑAT;  14;5,378
42;HODEI;  14;5,378
43;IZAN;  14;5,378
44;ENZO;  13;4,994
45;LIAM;  13;4,994
46;PAUL;  13;4,994
47;IAN;  12;4,61
48;MATTIN;  12;4,61
49;XABIER;  12;4,61
50;AITOR;  11;4,226
51;ASIER;  11;4,226
52;DIEGO;  11;4,226
53;JAKES;  11;4,226
54;LIER;  11;4,226
55;LIHER;  11;4,226
56;DAVID;  10;3,842
57;EÑAUT;  10;3,842
58;GARI;  10;3,842
59;NIKO;  10;3,842
60;NOAH;  10;3,842
61;ADAM;  9;3,458
62;EKAI;  9;3,458
63;ERIK;  9;3,458
64;LUKAS;  9;3,458
65;LUR;  9;3,458
66;MOHAMED;  9;3,458
67;RAYAN;  9;3,458
68;ADRIAN;  8;3,073
69;AMIR;  8;3,073
70;ANJE;  8;3,073
71;ARITZ;  8;3,073
72;HEGOI;  8;3,073
73;MARTXEL;  8;3,073
74;SAMUEL;  8;3,073
75;URKO;  8;3,073
76;XUHAR;  8;3,073
77;AXEL;  7;2,689
78;BRUNO;  7;2,689
79;EKAITZ;  7;2,689
80;INHAR;  7;2,689
81;IÑIGO;  7;2,689
82;LANDER;  7;2,689
83;OINATZ;  7;2,689
84;PABLO;  7;2,689
85;TEO;  7;2,689
86;DYLAN;  6;2,305
87;GEXAN;  6;2,305
88;IGNACIO;  6;2,305
89;JOKIN;  6;2,305
90;LUCA;  6;2,305
91;THIAGO;  6;2,305
92;XUBAN;  6;2,305
93;ALAN;  5;1,921
94;ELUR;  5;1,921
95;ENAITZ;  5;1,921
96;GAEL;  5;1,921
97;GORKA;  5;1,921
98;IMRAN;  5;1,921
99;INAR;  5;1,921
100;ISMAEL;  5;1,921
101;MARCOS;  5;1,921
102;MARKO;  5;1,921
103;NICOLAS;  5;1,921
104;OMAR;  5;1,921
105;PAU;  5;1,921
106;UR;  5;1,921
107;XANET;  5;1,921
108;ZUHAITZ;  5;1,921
