;sexe;prenom;dpt;nombre;
215;2;JOSEPHINE;64;52;
216;2;GARANCE;64;50;
217;2;ORIANE;64;50;
218;2;TESS;64;49;
219;2;LIA;64;49;
220;2;LARA;64;49;
221;2;HEGOA;64;49;1
222;2;JESSICA;64;49;
223;2;DIANE;64;49;
224;2;AYA;64;47;
225;2;VIOLETTE;64;47;
226;2;CELESTE;64;47;
227;2;GAELLE;64;46;
228;2;SASHA;64;46;
229;2;FLAVIE;64;45;
230;2;ALYSSA;64;45;
231;2;AUDE;64;45;
232;2;LOUISA;64;45;1
233;2;ANGELINA;64;44;
234;2;CLEA;64;43;
235;2;KIARA;64;43;
236;2;LAIDA;64;42;
237;2;SOLINE;64;41;
238;2;MARIA;64;40;
239;2;MAIDER;64;40;
240;2;LYNA;64;40;
241;2;LUCY;64;39;
242;2;SAMANTHA;64;39;
243;2;LEIA;64;39;1
244;2;YUNA;64;38;
245;2;LUCIA;64;38;
246;2;MAELIE;64;38;
247;2;MYRIAM;64;38;
248;2;MIREN;64;38;
249;2;EUGENIE;64;38;
250;2;ELIA;64;37;1
251;2;LOU-ANN;64;37;
252;2;ELLIE;64;37;
253;2;EDEN;64;36;
254;2;LYANA;64;36;
255;2;HELENA;64;36;
256;2;NAYA;64;35;
257;2;MAIWENN;64;35;
258;2;TIFFANY;64;35;
259;2;SHANNA;64;35;
260;2;LIVIA;64;34;
261;2;CHIARA;64;34;
262;2;CHARLENE;64;34;
263;2;RAPHAELLE;64;34;
264;2;THALIA;64;33;
265;2;MARYLOU;64;33;
266;2;ENEKA;64;32;
267;2;PERRINE;64;32;
268;2;LALIE;64;32;
269;2;TIPHAINE;64;32;
270;2;KENZA;64;32;
271;2;LOUISON;64;31;
272;2;DIANA;64;31;
273;2;MELINE;64;31;
274;2;SELMA;64;31;
275;2;ASTRID;64;30;
276;2;LILY-ROSE;64;29;
277;2;JOHANNA;64;29;
278;2;MYLA;64;29;
279;2;HORTENSE;64;29;
280;2;SORAYA;64;29;
281;2;ARIA;64;29;
282;2;CECILE;64;29;
283;2;CELINE;64;29;
284;2;NOUR;64;29;
285;2;AMALIA;64;28;
286;2;NAOMIE;64;27;
287;2;SABRINA;64;27;
288;2;CLEO;64;26;
289;2;VALENTINA;64;26;
290;2;JOY;64;26;
291;2;CYNTHIA;64;26;
292;2;ALYA;64;26;
293;2;PENELOPE;64;26;
