;sexe;prenom;nombre;vote
247;2;SORAYA;119;
248;2;NICOLE;119;
249;2;ANA MARIA;117;
250;2;AINIZE;115;
251;2;SAMARA;113;
252;2;CECILIA;110;
253;2;AMARA;110;
254;2;ONEKA;107;
255;2;CLOE;107;
256;2;SAMIRA;107;
257;2;YASMINA;107;
258;2;LAIENE;106;
259;2;ITXASNE;104;
260;2;MADDALEN;103;
261;2;ONINTZE;102;
262;2;EKHINE;98;
263;2;DANIELLA;98;
264;2;IHINTZA;98;
265;2;NOAH;97;
266;2;GORANE;96;
267;2;TRIANA;96;
268;2;MAGALI;95;
269;2;ONINTZA;94;
270;2;KATIXA;93;
271;2;KIRA;93;
272;2;AMALUR;92;
273;2;AMINA;92;
274;2;AIDA;92;
275;2;KHADIJA;92;
276;2;ANDERE;91;
277;2;JENNIFER;91;
278;2;SARAH;91;
279;2;AZAHARA;90;
280;2;CATALINA;90;
281;2;UXIA;90;
282;2;AFRIKA;89;
283;2;ADARA;89;
284;2;GISELA;89;
285;2;MIKELE;89;
286;2;SUA;88;
287;2;ZALOA;87;
288;2;NOUR;87;
289;2;ABRIL;86;
290;2;CAYETANA;86;
291;2;JESSICA;85;
292;2;IUNE;85;
293;2;GALA;85;
294;2;BIDANE;85;
295;2;ELIA;84;
296;2;AIURI;84;
297;2;NARA;83;
298;2;TELMA;82;
299;2;AICHA;80;
300;2;GAROA;78;
301;2;GOIURI;78;
302;2;MAR;78;
303;2;MARIA CARMEN;78;
304;2;HIBA;77;
305;2;LYDIA;76;
306;2;DESIREE;76;
307;2;ANIA;76;
308;2;ANAIS;75;
309;2;NERE;74;
310;2;ILAZKI;74;
311;2;ELISABETH;74;
312;2;ZIHARA;74;
313;2;MIREN AMAIUR;74;
314;2;NAIMA;73;
315;2;NAHIANE;73;
316;2;IRINA;72;
317;2;GOIATZ;72;
318;2;AYALA;71;
319;2;YANIRE;70;
320;2;EIRE;70;
321;2;NAZARET;69;
322;2;BIDATZ;69;
323;2;MIREYA;69;
324;2;IGONE;69;
325;2;ESTELA;68;
326;2;LEIZURI;68;
327;2;SUSANA;68;
328;2;JARA;67;
329;2;YANIRA;66;
330;2;IMAN;66;
331;2;ARGIA;66;
332;2;MENCIA;66;
333;2;KEIRA;66;
334;2;GARBINE;65;
335;2;ENEA;65;
336;2;ANE MIREN;64;
337;2;BERA;64;
338;2;RANIA;64;
339;2;ERIN;64;
340;2;AIZPEA;64;
341;2;ARWA;64;
342;2;ICIAR;64;
343;2;BERTA;64;
344;2;KAREN;63;
345;2;AMAL;63;
346;2;SELENE;63;
347;2;UZURI;62;
348;2;XUNE;62;
349;2;IZANE;61;
350;2;BASMA;61;
351;2;MICHELLE;60;
352;2;NATALE;60;
353;2;ISRAA;59;
354;2;BELEN;59;
355;2;ALMUDENA;59;
356;2;LAILA;59;1
357;2;AIXA;59;
358;2;INAS;58;
359;2;MAYA;58;
360;2;PILAR;58;
361;2;TASNIM;57;
362;2;DAFNE;57;
363;2;AMANDA;57;
364;2;EKIA;56;
365;2;ASHLEY;56;
366;2;JUNCAL;56;
367;2;MATXALEN;56;
368;2;RIM;56;
369;2;AMETSA;56;
370;2;FATIMA ZAHRA;55;
371;2;INDIA;55;
372;2;ANI;55;
373;2;UMA;55;
374;2;ARANTZA;55;
375;2;ITZEL;55;
376;2;LEIA;55;
377;2;TATIANA;55;
378;2;JUDIT;54;
379;2;GOIZEDER;54;
380;2;DANA;53;
381;2;AYELEN;53;
382;2;NAYELI;53;
383;2;HAJAR;53;
384;2;VIRGINIA;52;
385;2;LENA;52;1
386;2;MERCEDES;51;
387;2;JUGATX;51;
388;2;GRETA;51;
389;2;AIZA;51;
390;2;DAMARIS;50;
391;2;XUHARE;50;
392;2;ALDARA;50;
393;2;INDIRA;50;
394;2;ANNA;50;
395;2;OLGA;50;
396;2;LETICIA;49;
397;2;OSKIA;49;
398;2;LUA;49;
399;2;IRACHE;49;
400;2;GORETTI;49;
401;2;GADEA;48;
402;2;UXURI;48;
403;2;THALIA;48;
404;2;AIA;48;
405;2;IERA;47;
406;2;ARRIETA;47;
407;2;DEIANE;47;
408;2;YERA;47;
409;2;ANTIA;46;
410;2;VANESA;45;
411;2;ESTEFANIA;45;
412;2;NARE;45;
413;2;MARENE;44;
414;2;VIOLETA;44;
415;2;IZARNE;44;
416;2;DINA;44;
417;2;IBANE;43;
418;2;IDAIRA;43;
419;2;ARANTXA;43;
420;2;AMELIA;43;
421;2;JANA;42;
422;2;SAFAA;42;
423;2;TAMARA;42;
424;2;YASMINE;42;
425;2;PALOMA;42;1
426;2;ARIXEN;42;
427;2;ELORRI;42;
428;2;JASONE;41;
429;2;AYLA;41;
430;2;DEIENE;41;
431;2;EUGENIA;41;
432;2;MAI;41;
433;2;MARIA CRISTINA;41;
434;2;NAOMI;41;
435;2;IDURRE;41;
436;2;IKERNE;41;
437;2;MICAELA;41;
438;2;CAMILA;41;
439;2;MAULE;40;
440;2;MARIA TERESA;40;
441;2;SIRA;40;
442;2;LUZIA;40;
443;2;EZTIZEN;40;
444;2;AINITZE;40;
445;2;SOPHIA;39;
446;2;MARIA ISABEL;39;
447;2;ABIGAIL;39;
448;2;ANITZ;39;
449;2;HAFSA;38;
450;2;ELIZABETH;38;
451;2;IANIRE;38;
452;2;IZARBE;38;
453;2;AYLEN;38;
454;2;NUR;38;
455;2;MAIKA;38;
456;2;ANTONELLA;38;
457;2;DESIRE;38;
458;2;NAYLA;37;
459;2;AURORA;37;
460;2;EVELYN;36;
461;2;IZARE;36;
462;2;LEILA;36;
463;2;ARIA;36;
464;2;IZARGI;36;
465;2;KRISTINA;36;
466;2;ZEIANE;36;
467;2;EURI;35;
468;2;OHIANE;35;
469;2;ARIANNA;35;
470;2;NINBE;35;
471;2;MADALEN;35;
472;2;ADA;35;
473;2;ELBA;35;
474;2;ARYA;34;
475;2;MIKAELA;34;
476;2;DAYANA;34;
477;2;SIRATS;34;
478;2;NIRA;34;
479;2;MARIA PILAR;34;
480;2;ZELAI;34;
481;2;HIART;33;
482;2;HIDAYA;33;
483;2;MELANIE;33;
484;2;KEYLA;33;
485;2;MAITENA;33;
486;2;ALAA;33;
487;2;KATRIN;33;
488;2;ESTRELLA;32;
489;2;MARYAM;32;
490;2;YOUSRA;32;
491;2;JANET;32;
492;2;LEIXURI;32;
493;2;AMAGOIA;32;
494;2;MAIANE;32;
495;2;AIZENE;32;
496;2;KATIA;31;
497;2;USUNE;31;
498;2;AIZANE;31;
499;2;MIRIAN;31;
500;2;YOMARA;31;
501;2;RAKEL;31;
502;2;NOOR;31;
503;2;DANAE;31;
504;2;BIANCA;31;
505;2;ZAINAB;31;
506;2;KHLOE;30;
507;2;KARLE;30;
508;2;ISMENE;30;
509;2;IZEIA;30;
510;2;NAHIARA;30;
511;2;ZUBEROA;29;
512;2;EIRA;29;
513;2;ANASTASIA;29;
514;2;SALOME;29;
515;2;NORAH;29;
516;2;ADHARA;29;
517;2;NAILA;29;
518;2;SELENA;28;
519;2;ROSA;28;
520;2;MIRANDA;28;
521;2;AGUEDA;28;
522;2;EDITH;28;
523;2;VANESSA;28;
524;2;KAWTAR;27;
525;2;MARIA JOSE;27;
526;2;DUNIXE;27;
527;2;XENIA;27;
528;2;AINHITZE;27;
529;2;RITAJ;27;
530;2;MARIA ANGELES;27;
531;2;MELODY;27;
532;2;LUISA;27;
533;2;ALANA;27;
534;2;ZUHARA;27;
535;2;EMILY;27;
536;2;ESTITXU;26;
537;2;SABRINA;26;
538;2;YADIRA;26;
539;2;JADE;26;
540;2;ZAHIRA;26;
541;2;AINA;26;
542;2;MANAL;26;
543;2;AIZEA;26;
544;2;INDARA;26;
545;2;JULIETA;26;
546;2;DANELE;26;
547;2;WIAM;26;
548;2;OLAITZ;25;
549;2;DELIA;25;
550;2;MARE;25;
551;2;ELISABET;25;
552;2;THAIS;25;
553;2;ELVIRA;25;
554;2;DUNA;25;
555;2;CYNTHIA;24;
556;2;YURENA;24;
557;2;LUANA;24;
558;2;LEAH;24;
559;2;YOLANDA;24;
560;2;XIOMARA;24;
561;2;AINES;24;
562;2;AMALE;24;
563;2;ANARI;24;
564;2;IKRAM;24;
565;2;AMALIA;24;
566;2;SAYOA;24;
567;2;UXUNE;24;
568;2;OLAYA;23;
569;2;NAIKE;23;
570;2;SARAYMA;23;
571;2;MAYRA;23;
572;2;IOSUNE;23;
573;2;LUKENE;23;
574;2;TALIA;23;
575;2;ISRAE;23;
576;2;ADELA;23;
577;2;JACQUELINE;23;
578;2;MELISSA;22;
579;2;IRAITZ;22;
580;2;SHAILA;22;
581;2;IARE;22;
582;2;IHARA;22;
583;2;LILI;22;
584;2;KIMA;22;
585;2;ONA;22;
586;2;ALAE;22;
587;2;ALMIKE;22;
588;2;MANAR;21;
589;2;MERIEM;21;
590;2;MACARENA;21;
591;2;ITZAL;21;
592;2;CORAIMA;21;
593;2;LOURDES;21;
594;2;ZAIDA;21;
595;2;ISABELA;21;
596;2;ARLET;21;
597;2;IKHLAS;21;
598;2;ARANTZAZU;20;
599;2;XUBANE;20;
600;2;IMANE;20;
601;2;BARBARA;20;
602;2;SUHAILA;20;
603;2;HAIZE;20;
604;2;NOHA;20;
605;2;DANNA;20;
606;2;SIMONE;20;
607;2;KAIA;20;
608;2;MINERVA;19;
609;2;DUNIA;19;
610;2;IZEL;19;
611;2;MARIA VICTORIA;19;
612;2;MELANI;19;
613;2;AKANE;19;
614;2;ALLENDE;19;
615;2;MYRIAM;19;
616;2;INGRID;19;
617;2;ILUNE;19;
618;2;MIRENE;19;
619;2;LOHIZUNE;19;
620;2;CHIARA;19;
621;2;MARAM;18;
622;2;SOPHIE;18;
623;2;ANES;18;
624;2;JOAR;18;
625;2;NAYARA;18;
626;2;MAIXA;18;
627;2;ORIANA;18;
628;2;USOA;18;
629;2;ZOIHARTZE;18;
630;2;IZARRA;18;
631;2;NOR;17;
632;2;SAFA;17;
633;2;YASIRA;17;
634;2;SAFAE;17;
635;2;ARGINE;17;
636;2;ITXARO;17;
637;2;GOIZARGI;17;
638;2;KELTSE;17;
639;2;SOFIA MARIA;17;
640;2;KARMELE;17;
641;2;ESMERALDA;17;
642;2;AFNAN;16;
643;2;RUBI;16;
644;2;AUNITZ;16;
645;2;YUNE;16;
646;2;ANAHI;16;
647;2;RAZAN;16;
648;2;JANNAT;16;
649;2;ELEN;16;
650;2;GURUTZE;16;
651;2;KLARA;16;
652;2;ILLARI;16;
653;2;FARAH;16;
654;2;MIREN AMETS;15;
655;2;BAYAN;15;
656;2;KLOE;15;
657;2;ANETTE;15;
658;2;HOUDA;15;
659;2;SAMANTHA;15;
660;2;ENEIDA;15;
661;2;NAIALA;15;
662;2;OMAIMA;15;
663;2;IREA;15;
664;2;DOHA;15;
665;2;ARA;15;
666;2;KEILA;15;
667;2;ANUK;15;
668;2;GOIZALDE;14;
669;2;INSAF;14;
670;2;AINE;14;
671;2;EHARI;14;
672;2;RIHAB;14;
673;2;DARA;14;
674;2;FATOU;14;
675;2;LAURA MARIA;14;
676;2;ILLARE;14;
677;2;IDOYA;14;
678;2;DORLETA;14;
679;2;GENTZANE;14;
680;2;DANIA;14;
681;2;ASIA;14;
682;2;SABINA;14;
683;2;AINTZIRA;13;
684;2;COVADONGA;13;
685;2;CATALEYA;13;
686;2;ZAHRA;13;
687;2;MAE;13;
688;2;KAYLA;13;
689;2;ARABIA;13;
690;2;MATILDE;13;
691;2;MAROUA;13;
692;2;GEMMA;13;
693;2;LEONOR;13;
694;2;FATOUMATA;13;
695;2;ARGI;13;
696;2;GEMA;13;
697;2;ANIE;13;
698;2;IXEIA;12;
699;2;IZORTZE;12;
700;2;WISSAL;12;
701;2;AMELIE;12;
702;2;NURA;12;
703;2;GAIA;12;
704;2;SIRIA;12;
705;2;SIRIN;12;
706;2;ABRAR;12;
707;2;ENEKA;12;
708;2;HAIZEDER;12;
709;2;UXUA;12;
710;2;ALIA;12;
711;2;ALINA;12;
712;2;ITOITZ;12;
713;2;ALLISON;12;
714;2;MARIA DOLORES;12;
715;2;MENDIA;12;
716;2;KAOUTAR;12;
717;2;MILENA;12;
718;2;FIRDAOUS;11;
719;2;PAZ;11;
720;2;MIRYAM;11;
721;2;LUCIA MARIA;11;
722;2;MARCELA;11;
723;2;ASTRID;11;
724;2;ALISON;11;
725;2;ASMAA;11;
726;2;JUANA;11;
