Nº;Nombre;Total;Por mil (‰)
1;JAVIER;  962;30,995
2;IKER;  882;28,418
3;MIKEL;  772;24,874
4;PABLO;  760;24,487
5;ASIER;  708;22,811
6;AIMAR;  643;20,717
7;IÑIGO;  638;20,556
8;UNAI;  632;20,363
9;DANIEL;  599;19,3
10;DAVID;  557;17,946
11;AITOR;  536;17,27
12;XABIER;  529;17,044
13;ADRIAN;  522;16,819
14;ALEJANDRO;  470;15,143
15;JON;  465;14,982
16;JULEN;  464;14,95
17;ANDER;  459;14,789
18;ALVARO;  448;14,434
19;MIGUEL;  414;13,339
20;IVAN;  392;12,63
21;IBAI;  373;12,018
22;OIER;  366;11,792
23;SERGIO;  362;11,663
24;ENEKO;  360;11,599
25;MARIO;  330;10,632
26;HUGO;  316;10,181
27;DIEGO;  311;10,02
28;IÑAKI;  303;9,763
29;MARCOS;  296;9,537
30;RUBEN;  257;8,28
31;JUAN;  245;7,894
32;MARTIN;  240;7,733
33;NICOLAS;  238;7,668
34;CARLOS;  228;7,346
35;ARITZ;  214;6,895
36;LUCAS;  200;6,444
37;OIHAN;  199;6,412
38;JORGE;  192;6,186
39;RAUL;  191;6,154
40;ALEX;  178;5,735
41;GORKA;  166;5,348
42;MARKEL;  165;5,316
43;BEÑAT;  163;5,252
44;FRANCISCO JAVIER;  153;4,93
45;OSCAR;  148;4,769
46;IMANOL;  139;4,479
47;JESUS;  137;4,414
48;GONZALO;  134;4,317
49;ANGEL;  131;4,221
50;UNAX;  131;4,221
51;IGNACIO;  128;4,124
52;ALBERTO;  127;4,092
53;FERMIN;  127;4,092
54;GUILLERMO;  127;4,092
55;VICTOR;  125;4,027
56;ANDONI;  122;3,931
57;JAIME;  119;3,834
58;EDUARDO;  117;3,77
59;HODEI;  113;3,641
60;IZAN;  112;3,609
61;ISMAEL;  106;3,415
62;SAMUEL;  105;3,383
63;ALAIN;  102;3,286
64;LUIS;  101;3,254
65;JOSU;  100;3,222
66;HECTOR;  98;3,158
67;GAIZKA;  94;3,029
68;GABRIEL;  93;2,996
69;SANTIAGO;  93;2,996
70;EKAITZ;  92;2,964
71;ION;  89;2,868
72;JOSEBA;  86;2,771
73;ANDRES;  85;2,739
74;JOEL;  85;2,739
75;AARON;  83;2,674
76;MATEO;  79;2,545
77;URKO;  79;2,545
78;MANUEL;  77;2,481
79;YERAY;  74;2,384
80;CRISTIAN;  73;2,352
81;PEDRO;  71;2,288
82;ANTONIO;  65;2,094
83;MARCO;  59;1,901
84;ERIK;  57;1,837
85;MIGUEL ANGEL;  57;1,837
86;RODRIGO;  57;1,837
87;JOKIN;  56;1,804
88;TELMO;  56;1,804
89;EGOITZ;  54;1,74
90;IOSU;  54;1,74
91;FERNANDO;  53;1,708
92;ARKAITZ;  51;1,643
93;CHRISTIAN;  51;1,643
94;EDER;  51;1,643
95;ENRIQUE;  51;1,643
96;IGOR;  51;1,643
97;HARITZ;  49;1,579
98;HEGOI;  49;1,579
99;JOSE;  49;1,579
100;AMETS;  48;1,547
101;ROBERTO;  48;1,547
102;CESAR;  47;1,514
103;YAGO;  47;1,514
104;MOHAMED;  44;1,418
105;BORJA;  43;1,385
106;DARIO;  43;1,385
107;ENDIKA;  43;1,385
108;IBAN;  42;1,353
109;JONATHAN;  42;1,353
110;LANDER;  41;1,321
111;IBON;  40;1,289
112;IRAITZ;  40;1,289
113;KEVIN;  40;1,289
114;MANEX;  40;1,289
115;ELOY;  39;1,257
116;JOSE MARIA;  39;1,257
117;RAFAEL;  38;1,224
118;ADAM;  37;1,192
119;EKAIN;  37;1,192
120;ODEI;  37;1,192
121;BRUNO;  36;1,16
122;EGOI;  36;1,16
123;ENAITZ;  36;1,16
124;SAUL;  35;1,128
125;ALEXANDER;  34;1,095
126;JON ANDER;  34;1,095
127;ADUR;  33;1,063
128;JOSE LUIS;  33;1,063
129;RICARDO;  33;1,063
130;JOANES;  32;1,031
131;PEIO;  32;1,031
132;FRANCISCO;  30;0,967
133;MATIAS;  30;0,967
134;MATTIN;  30;0,967
135;OMAR;  30;0,967
136;XAVIER;  30;0,967
137;TASIO;  29;0,934
138;JUAN PABLO;  28;0,902
139;ELIAS;  27;0,87
140;IORITZ;  27;0,87
141;JOAQUIN;  27;0,87
142;OINATZ;  27;0,87
143;PATXI;  27;0,87
144;ABEL;  26;0,838
145;AMAIUR;  26;0,838
146;ARTURO;  26;0,838
147;TOMAS;  26;0,838
148;XUBAN;  26;0,838
149;ABRAHAM;  25;0,805
150;ERIC;  25;0,805
151;AINGERU;  24;0,773
152;ALFONSO;  24;0,773
153;FELIX;  24;0,773
154;JUAN JOSE;  23;0,741
155;AYOUB;  22;0,709
156;RAYAN;  22;0,709
157;ISAAC;  21;0,677
158;JOSE ANTONIO;  21;0,677
159;JULIAN;  21;0,677
160;LEO;  21;0,677
161;ALFREDO;  20;0,644
162;EKAI;  20;0,644
163;JOSE MANUEL;  20;0,644
164;JUAN MANUEL;  20;0,644
165;KOLDO;  20;0,644
166;LUKEN;  20;0,644
167;ANER;  19;0,612
168;HAMZA;  19;0,612
169;IAN;  19;0,612
170;JOSE MIGUEL;  19;0,612
171;ANAS;  18;0,58
172;BILAL;  18;0,58
173;EÑAUT;  18;0,58
174;ISRAEL;  18;0,58
175;JOAN;  18;0,58
176;LUCA;  18;0,58
177;URTZI;  18;0,58
178;ALAN;  17;0,548
179;BRIAN;  17;0,548
180;JUAN CARLOS;  17;0,548
181;JUAN DAVID;  17;0,548
182;LUIS MIGUEL;  17;0,548
183;YOEL;  17;0,548
184;ZAKARIA;  17;0,548
185;IZAI;  16;0,516
186;JOSE JAVIER;  16;0,516
187;YASSIN;  16;0,516
188;YERAI;  16;0,516
189;ARATZ;  15;0,483
190;GERMAN;  15;0,483
191;JOSE IGNACIO;  15;0,483
192;MOHAMMED;  15;0,483
193;PELLO;  15;0,483
194;TEO;  15;0,483
195;UGAITZ;  15;0,483
196;ADEI;  14;0,451
197;AYMAN;  14;0,451
198;GAEL;  14;0,451
199;INHAR;  14;0,451
200;LUKAS;  14;0,451
201;PERU;  14;0,451
202;RAMON;  14;0,451
203;SEBASTIAN;  14;0,451
204;AITZOL;  13;0,419
205;GARIKOITZ;  13;0,419
206;JORITZ;  13;0,419
207;YOUSSEF;  13;0,419
208;ANTTON;  12;0,387
209;BRYAN;  12;0,387
210;DENIS;  12;0,387
211;EKHI;  12;0,387
212;EMILIO;  12;0,387
213;ESTEBAN;  12;0,387
214;IOAR;  12;0,387
215;KAIET;  12;0,387
216;MAIKEL;  12;0,387
217;MOHAMED AMIN;  12;0,387
218;NACHO;  12;0,387
219;SANCHO;  12;0,387
220;AMIN;  11;0,354
221;CARLOS JAVIER;  11;0,354
222;ERLANTZ;  11;0,354
223;IZEI;  11;0,354
224;JOHN;  11;0,354
225;JOSUE;  11;0,354
226;LUKA;  11;0,354
227;TXOMIN;  11;0,354
228;URKI;  11;0,354
229;VICENTE;  11;0,354
230;ALAI;  10;0,322
231;AXEL;  10;0,322
232;EKI;  10;0,322
233;GANIX;  10;0,322
234;JULIO;  10;0,322
235;LIZAR;  10;0,322
236;MARC;  10;0,322
237;MAURO;  10;0,322
238;MICHAEL;  10;0,322
239;NABIL;  10;0,322
240;OSKAR;  10;0,322
241;PAU;  10;0,322
242;YASIN;  10;0,322
243;AHMED;  9;0,29
244;ENZO;  9;0,29
245;GARAI;  9;0,29
246;IBRAHIM;  9;0,29
247;ILIAS;  9;0,29
248;ION ANDER;  9;0,29
249;JEREMY;  9;0,29
250;JUAN ANTONIO;  9;0,29
251;LEONARDO;  9;0,29
252;MOISES;  9;0,29
253;NIKOLAS;  9;0,29
254;OLIVER;  9;0,29
255;SIMON;  9;0,29
256;WALID;  9;0,29
257;ALI;  8;0,258
258;DYLAN;  8;0,258
259;EUKEN;  8;0,258
260;IAGO;  8;0,258
261;INAR;  8;0,258
262;JAIRO;  8;0,258
263;KEMEN;  8;0,258
264;LORENZO;  8;0,258
265;MAREN;  8;0,258
266;MARKO;  8;0,258
267;NESTOR;  8;0,258
268;SAMIR;  8;0,258
269;URIEL;  8;0,258
270;YOUNES;  8;0,258
271;AIMAN;  7;0,226
272;ANARTZ;  7;0,226
273;ANTXON;  7;0,226
274;CHRISTOPHER;  7;0,226
275;DAMIAN;  7;0,226
276;ERICK;  7;0,226
277;ETHAN;  7;0,226
278;EZEQUIEL;  7;0,226
279;FERMIN JAVIER;  7;0,226
280;JONATAN;  7;0,226
281;JUAN LUIS;  7;0,226
282;KARIM;  7;0,226
283;KIMETZ;  7;0,226
284;PABLO JAVIER;  7;0,226
285;PELAYO;  7;0,226
286;SALVADOR;  7;0,226
287;XABAT;  7;0,226
288;ACHRAF;  6;0,193
289;ADAN;  6;0,193
290;ADAY;  6;0,193
291;AGUSTIN;  6;0,193
292;AIERT;  6;0,193
293;AMETZ;  6;0,193
294;ANAI;  6;0,193
295;ANOUAR;  6;0,193
296;ANTHONY;  6;0,193
297;ARON;  6;0,193
298;CLAUDIO;  6;0,193
299;CRISTIAN DAVID;  6;0,193
300;DANEL;  6;0,193
301;FEDERICO;  6;0,193
302;FELIPE;  6;0,193
303;FRANCISCO JOSE;  6;0,193
304;IELTXU;  6;0,193
305;JESUS JAVIER;  6;0,193
306;JON MIKEL;  6;0,193
307;JOSE ANGEL;  6;0,193
308;JOSE DANIEL;  6;0,193
309;JOSE RAMON;  6;0,193
310;JOSETXO;  6;0,193
311;JUAN MIGUEL;  6;0,193
312;KEPA;  6;0,193
313;LUIS FERNANDO;  6;0,193
314;MARWAN;  6;0,193
315;MATTEO;  6;0,193
316;MOUAD;  6;0,193
317;NOAH;  6;0,193
318;OSAMA;  6;0,193
319;REDA;  6;0,193
320;ROMAN;  6;0,193
321;SAAD;  6;0,193
322;STEVEN;  6;0,193
323;XABI;  6;0,193
324;XANTI;  6;0,193
325;XIKER;  6;0,193
326;YOUCEF;  6;0,193
327;ZUHAITZ;  6;0,193
328;ADOLFO;  5;0,161
329;ALEJO;  5;0,161
330;ALEXANDRO;  5;0,161
331;ALONSO;  5;0,161
332;AMINE;  5;0,161
333;AMIR;  5;0,161
334;ANASS;  5;0,161
335;ANES;  5;0,161
336;ANGEL MARIA;  5;0,161
337;ARAITZ;  5;0,161
338;ARTZAI;  5;0,161
339;BRAIS;  5;0,161
340;CARLOS MANUEL;  5;0,161
341;DANI;  5;0,161
342;ELLANDE;  5;0,161
343;EMANUEL;  5;0,161
344;EUGENIO;  5;0,161
345;GALDER;  5;0,161
346;HARKAITZ;  5;0,161
347;ISMAIL;  5;0,161
348;JESUS ANGEL;  5;0,161
349;JOSE ALBERTO;  5;0,161
350;JUAN ANDRES;  5;0,161
351;JUAN FRANCISCO;  5;0,161
352;KILIAN;  5;0,161
353;LUIS ALEJANDRO;  5;0,161
354;MARCO ANTONIO;  5;0,161
355;MARK;  5;0,161
356;MARTXEL;  5;0,161
357;MARTZEL;  5;0,161
358;MICHEL;  5;0,161
359;MIKEL XABIER;  5;0,161
360;MOUSSA;  5;0,161
361;NIKOLAY;  5;0,161
362;NOEL;  5;0,161
363;ORIOL;  5;0,161
364;OUSSAMA;  5;0,161
365;PEDRO JOSE;  5;0,161
366;RICHARD;  5;0,161
367;SANTOS;  5;0,161
368;VALENTIN;  5;0,161
369;XABIER MIKEL;  5;0,161
370;YASSINE;  5;0,161
371;YULEN;  5;0,161
