Nº;Nombre;Total;Por mil (‰)
1;MARKEL;  319;21,044
2;AIMAR;  318;20,978
3;JON;  287;18,933
4;IKER;  279;18,405
5;MIKEL;  279;18,405
6;JULEN;  278;18,339
7;UNAI;  272;17,943
8;IBAI;  263;17,349
9;OIER;  250;16,492
10;ANDER;  249;16,426
11;UNAX;  235;15,502
12;ENEKO;  213;14,051
13;ADRIAN;  190;12,534
14;ASIER;  175;11,544
15;HUGO;  170;11,214
16;DANIEL;  164;10,819
17;OIHAN;  162;10,687
18;AMETS;  161;10,621
19;MARTIN;  159;10,489
20;IZAN;  153;10,093
21;DANEL;  146;9,631
22;IZEI;  145;9,565
23;XABIER;  145;9,565
24;ALAIN;  136;8,972
25;ERIK;  131;8,642
26;ALEX;  119;7,85
27;EDER;  113;7,454
28;BEÑAT;  110;7,256
29;HODEI;  110;7,256
30;AITOR;  107;7,059
31;ARITZ;  101;6,663
32;PABLO;  97;6,399
33;EKAIN;  95;6,267
34;EKAITZ;  92;6,069
35;LUCAS;  92;6,069
36;ALEJANDRO;  86;5,673
37;ARATZ;  86;5,673
38;IAN;  86;5,673
39;AIUR;  84;5,541
40;ADAM;  79;5,211
41;MARIO;  78;5,145
42;URKO;  78;5,145
43;MARCOS;  73;4,816
44;ENAITZ;  70;4,618
45;MARCO;  68;4,486
46;DAVID;  67;4,42
47;NICOLAS;  66;4,354
48;ALVARO;  65;4,288
49;LANDER;  65;4,288
50;MOHAMED;  64;4,222
51;ANER;  62;4,09
52;DIEGO;  62;4,09
53;LEO;  62;4,09
54;IÑIGO;  59;3,892
55;LUKEN;  57;3,76
56;HEGOI;  55;3,628
57;JOEL;  55;3,628
58;MATEO;  54;3,562
59;LUKA;  53;3,496
60;GORKA;  52;3,43
61;ENZO;  51;3,364
62;RAYAN;  51;3,364
63;LIHER;  50;3,298
64;GAIZKA;  48;3,166
65;IBON;  48;3,166
66;LIER;  48;3,166
67;ADEI;  46;3,035
68;TELMO;  45;2,969
69;GABRIEL;  42;2,771
70;EGOITZ;  41;2,705
71;JAVIER;  41;2,705
72;JOSU;  40;2,639
73;EKHI;  39;2,573
74;ANDONI;  38;2,507
75;IMANOL;  38;2,507
76;IVAN;  38;2,507
77;KIMETZ;  38;2,507
78;ENDIKA;  37;2,441
79;LUCA;  37;2,441
80;PEIO;  37;2,441
81;ANAS;  36;2,375
82;MIGUEL;  36;2,375
83;YOUSSEF;  35;2,309
84;IGOR;  34;2,243
85;IRAITZ;  34;2,243
86;OINATZ;  34;2,243
87;AMIR;  33;2,177
88;ERLANTZ;  32;2,111
89;UGAITZ;  32;2,111
90;YERAY;  32;2,111
91;URTZI;  31;2,045
92;AITZOL;  30;1,979
93;AYMAN;  30;1,979
94;ION;  30;1,979
95;SERGIO;  30;1,979
96;XABI;  30;1,979
97;AARON;  28;1,847
98;EINAR;  28;1,847
99;GUILLERMO;  28;1,847
100;OMAR;  28;1,847
101;EKAI;  27;1,781
102;GAEL;  27;1,781
103;HARITZ;  27;1,781
104;IRAI;  27;1,781
105;JORGE;  27;1,781
106;THIAGO;  27;1,781
107;AINGERU;  26;1,715
108;DYLAN;  26;1,715
109;EÑAUT;  26;1,715
110;JOKIN;  26;1,715
111;MANEX;  26;1,715
112;NOAH;  26;1,715
113;ODEI;  26;1,715
114;IMRAN;  25;1,649
115;INHAR;  25;1,649
116;IORITZ;  25;1,649
117;NEIZAN;  25;1,649
118;EKI;  24;1,583
119;GALDER;  24;1,583
120;MARC;  24;1,583
121;GONZALO;  23;1,517
122;PERU;  23;1,517
123;AXEL;  22;1,451
124;HECTOR;  22;1,451
125;JUAN;  22;1,451
