Nº;Nombre;Total;Por mil (‰)
241;MARIA CARMEN;  23;0,482
242;ALEXANDRA;  22;0,461
243;ALEXIA;  22;0,461
244;EKIÑE;  22;0,461
245;LUNA;  22;0,461
246;SARAH;  22;0,461
247;UZURI;  22;0,461
248;YASMIN;  22;0,461
249;AMARA;  21;0,44
250;ARAI;  21;0,44
251;BIDANE;  21;0,44
252;GARBIÑE;  21;0,44
253;LAIENE;  21;0,44
254;MICHELLE;  21;0,44
255;AYELEN;  20;0,419
256;FATIMA;  20;0,419
257;IRADI;  20;0,419
258;MIKELE;  20;0,419
259;OLIVIA;  20;0,419
260;JAIONE;  19;0,398
261;NICOLE;  19;0,398
262;ONINTZA;  19;0,398
263;AIARA;  18;0,377
264;CECILIA;  18;0,377
265;EUGENIA;  18;0,377
266;GOIATZ;  18;0,377
267;IGONE;  18;0,377
268;INGE;  18;0,377
269;IRANZU;  18;0,377
270;MALENA;  18;0,377
271;MAR;  18;0,377
272;MENCIA;  18;0,377
273;MIREYA;  18;0,377
274;ONEKA;  18;0,377
275;AYA;  17;0,356
276;CATALINA;  17;0,356
277;IONE;  17;0,356
278;NAIMA;  17;0,356
279;SUSANA;  17;0,356
280;ALMIKE;  16;0,335
281;AMAYA;  16;0,335
282;ARGIA;  16;0,335
283;ARRIETA;  16;0,335
284;DESIRE;  16;0,335
285;ESTELA;  16;0,335
286;JUDIT;  16;0,335
287;LEIZE;  16;0,335
288;NERE;  16;0,335
289;RAKEL;  16;0,335
290;AIZANE;  15;0,314
291;BERTA;  15;0,314
292;HEGOA;  15;0,314
293;JUNCAL;  15;0,314
294;NAIRA;  15;0,314
295;NAZARET;  15;0,314
296;YASMINA;  15;0,314
297;BIDATZ;  14;0,293
298;ELIZABETH;  14;0,293
299;GADEA;  14;0,293
300;GOIZALDE;  14;0,293
301;GOIZEDER;  14;0,293
302;MADALEN;  14;0,293
303;MAIER;  14;0,293
304;SIRATS;  14;0,293
305;YOMARA;  14;0,293
306;ZAHIRA;  14;0,293
307;ZELAI;  14;0,293
308;AICHA;  13;0,272
309;ALMUDENA;  13;0,272
310;ANAIS;  13;0,272
311;ARIANA;  13;0,272
312;ERIN;  13;0,272
313;EVELYN;  13;0,272
314;INTZA;  13;0,272
315;JACQUELINE;  13;0,272
316;KIARA;  13;0,272
317;MARIA ISABEL;  13;0,272
318;MELANIE;  13;0,272
319;TATIANA;  13;0,272
320;AGUEDA;  12;0,251
321;AMANE;  12;0,251
322;ARANTZAZU;  12;0,251
323;AZAHARA;  12;0,251
324;ELISABETH;  12;0,251
325;HAIZEDER;  12;0,251
326;HIART;  12;0,251
327;IDURRE;  12;0,251
328;IRAITZ;  12;0,251
329;LOHIZUNE;  12;0,251
330;MAIKA;  12;0,251
331;MAITENA;  12;0,251
332;MERCEDES;  12;0,251
333;OHIANE;  12;0,251
334;SIRIA;  12;0,251
335;TALIA;  12;0,251
336;TAMARA;  12;0,251
337;VALENTINA;  12;0,251
338;VANESSA;  12;0,251
339;XIOMARA;  12;0,251
340;ZAIDA;  12;0,251
341;ADHARA;  11;0,23
342;AIXA;  11;0,23
343;ANTIA;  11;0,23
344;BELEN;  11;0,23
345;IBANE;  11;0,23
346;IRINA;  11;0,23
347;ITXARO;  11;0,23
348;IZARRA;  11;0,23
349;KRISTINA;  11;0,23
350;MARCELA;  11;0,23
351;MARIA JOSE;  11;0,23
352;SAMIRA;  11;0,23
353;THAIS;  11;0,23
354;USUNE;  11;0,23
355;VERA;  11;0,23
356;YASIRA;  11;0,23
357;YURENA;  11;0,23
358;AGURTZANE;  10;0,209
359;AIZPEA;  10;0,209
360;ALDARA;  10;0,209
361;AMANDA;  10;0,209
362;ARGIÑE;  10;0,209
363;DAYANA;  10;0,209
364;ELVIRA;  10;0,209
365;GURUTZE;  10;0,209
366;IHART;  10;0,209
367;JANA;  10;0,209
368;KAREN;  10;0,209
369;LUKENE;  10;0,209
370;MARIAM;  10;0,209
371;NAYELI;  10;0,209
372;PILAR;  10;0,209
373;VANESA;  10;0,209
374;YERA;  10;0,209
375;AFRICA;  9;0,188
376;AIZA;  9;0,188
377;ANIA;  9;0,188
378;ARHANE;  9;0,188
379;AYALA;  9;0,188
380;BATIRTZE;  9;0,188
381;DAFNE;  9;0,188
382;DENISE;  9;0,188
383;EGUZKIÑE;  9;0,188
384;EIRE;  9;0,188
385;ELBA;  9;0,188
386;ESTEFANIA;  9;0,188
387;IDAIRA;  9;0,188
388;IERA;  9;0,188
389;ISABELA;  9;0,188
390;ITZAL;  9;0,188
391;JANET;  9;0,188
392;JOANNA;  9;0,188
393;KARMELE;  9;0,188
394;KATIA;  9;0,188
395;LEA;  9;0,188
396;LETICIA;  9;0,188
397;LUANA;  9;0,188
398;LUZIA;  9;0,188
399;MARIA VICTORIA;  9;0,188
400;MELODY;  9;0,188
401;OLAITZ;  9;0,188
402;TELMA;  9;0,188
403;XENIA;  9;0,188
404;AFRIKA;  8;0,168
405;ALESSANDRA;  8;0,168
406;CAMILA;  8;0,168
407;DANA;  8;0,168
408;ELISABET;  8;0,168
409;ENEA;  8;0,168
410;HAYDEE;  8;0,168
411;IHARA;  8;0,168
412;IRAIDA;  8;0,168
413;ISABELLA;  8;0,168
414;MARIA TERESA;  8;0,168
415;MARWA;  8;0,168
416;NAHIANE;  8;0,168
417;SHAKIRA;  8;0,168
418;YADIRA;  8;0,168
419;YOLANDA;  8;0,168
420;ZOIHARTZE;  8;0,168
421;AIZEA;  7;0,147
422;ARIXEN;  7;0,147
423;ASHLEY;  7;0,147
424;AURORA;  7;0,147
425;BEREZI;  7;0,147
426;CHLOE;  7;0,147
427;DAMARIS;  7;0,147
428;DUNIXE;  7;0,147
429;EKHIÑE;  7;0,147
430;ELIA;  7;0,147
431;HAJAR;  7;0,147
432;HODEIA;  7;0,147
433;IHINTZA;  7;0,147
434;INGRID;  7;0,147
435;IRAMA;  7;0,147
436;IUNE;  7;0,147
437;IZORTZE;  7;0,147
438;JULE;  7;0,147
439;KEIRA;  7;0,147
440;LAILA;  7;0,147
441;LAURA MARIA;  7;0,147
442;LIA;  7;0,147
443;LINA;  7;0,147
444;LUISA;  7;0,147
445;MIRANDA;  7;0,147
446;MIREN AMETS;  7;0,147
447;MIRENE;  7;0,147
448;NAOMI;  7;0,147
449;NINBE;  7;0,147
450;NORAH;  7;0,147
451;OLGA;  7;0,147
452;OSANE;  7;0,147
453;RANIA;  7;0,147
454;REGINA;  7;0,147
455;ROSA;  7;0,147
456;SAIDA;  7;0,147
457;SHAILA;  7;0,147
458;THALIA;  7;0,147
459;USUE;  7;0,147
460;UXIA;  7;0,147
461;ZUBEROA;  7;0,147
462;ABIGAIL;  6;0,126
463;ALANA;  6;0,126
464;ALISON;  6;0,126
465;ALLENDE;  6;0,126
466;AMAGOIA;  6;0,126
467;AMALE;  6;0,126
468;AMALUR;  6;0,126
469;AMELIA;  6;0,126
470;ANAHI;  6;0,126
471;ANGIE;  6;0,126
472;ARACELI;  6;0,126
473;ARIANNA;  6;0,126
474;ASTRID;  6;0,126
475;ATSEGIÑE;  6;0,126
476;CAYETANA;  6;0,126
477;CLOE;  6;0,126
478;COVADONGA;  6;0,126
479;DEBORA;  6;0,126
480;DELIA;  6;0,126
481;EHARI;  6;0,126
482;ESTIBALITZ;  6;0,126
483;ESTITXU;  6;0,126
484;GEMMA;  6;0,126
485;GENEVA;  6;0,126
486;GENTZANE;  6;0,126
487;ITOITZ;  6;0,126
488;ITZEL;  6;0,126
489;IZARNE;  6;0,126
490;JARA;  6;0,126
491;JOSEBE;  6;0,126
492;JUANA;  6;0,126
493;KARLE;  6;0,126
494;KEILA;  6;0,126
495;LEIXURI;  6;0,126
496;LOIOLA;  6;0,126
497;LOURDES;  6;0,126
498;LUA;  6;0,126
499;MARIA ANGELES;  6;0,126
500;MARIA BEGOÑA;  6;0,126
501;MARIA DOLORES;  6;0,126
502;MARIA JESUS;  6;0,126
503;MIREN BEGOÑA;  6;0,126
504;MIREN JOSUNE;  6;0,126
505;NAIALA;  6;0,126
506;NAIKE;  6;0,126
507;NAYLA;  6;0,126
508;NOAH;  6;0,126
509;ROSA MARIA;  6;0,126
510;ROSARIO;  6;0,126
511;RUBI;  6;0,126
512;SHANIA;  6;0,126
513;SIRA;  6;0,126
514;UMA;  6;0,126
515;YANIRA;  6;0,126
516;YASMINE;  6;0,126
517;ZEIANE;  6;0,126
518;ADELA;  5;0,105
519;AIZENE;  5;0,105
520;ALINA;  5;0,105
521;ALMA;  5;0,105
522;AÑES;  5;0,105
523;ARANE;  5;0,105
524;AURKENE;  5;0,105
525;AYLA;  5;0,105
526;BARBARA;  5;0,105
527;CINTIA;  5;0,105
528;DANAE;  5;0,105
529;DANELE;  5;0,105
530;DEBORAH;  5;0,105
531;ENEIDA;  5;0,105
532;FABIOLA;  5;0,105
533;FLAVIA;  5;0,105
534;GOIZARGI;  5;0,105
535;GORETTI;  5;0,105
536;IHARTE;  5;0,105
537;INDARA;  5;0,105
538;IREA;  5;0,105
539;IVONNE;  5;0,105
540;IZARBE;  5;0,105
541;IZARGI;  5;0,105
542;JIAHUI;  5;0,105
543;JOAR;  5;0,105
544;JULIANA;  5;0,105
545;KARLOTA;  5;0,105
546;KELTSE;  5;0,105
547;KLAUDIA;  5;0,105
548;LEILA;  5;0,105
549;MAGDALENA;  5;0,105
550;MAIANE;  5;0,105
551;MAIXA;  5;0,105
552;MARIA CAMILA;  5;0,105
553;MARIA CRISTINA;  5;0,105
554;MARIA ELENA;  5;0,105
555;MARIA FERNANDA;  5;0,105
556;MAYA;  5;0,105
557;MELISSA;  5;0,105
558;MERITXELL;  5;0,105
559;MIRIAN;  5;0,105
560;NADINE;  5;0,105
561;NAJWA;  5;0,105
562;NAZARETH;  5;0,105
