Nº;Nombre;Total;Por mil (‰)
340;LORENZO;  5;0,146
341;LUIS MIGUEL;  5;0,146
342;NIKOLA;  5;0,146
343;SAMIR;  5;0,146
344;UDAY;  5;0,146
345;URAITZ;  5;0,146
346;WALID;  5;0,146
347;XEBER;  5;0,146
348;YASSER;  5;0,146
349;ZAKARIA;  5;0,146
;;;
