Nº;Nombre;Total;Por mil (‰)
1;ANE;  1.389;30,674
2;JUNE;  1.078;23,806
3;IRATI;  922;20,361
4;IZARO;  918;20,273
5;NAHIA;  797;17,601
6;UXUE;  773;17,071
7;LUCIA;  714;15,768
8;LAIA;  689;15,216
9;NAIA;  661;14,597
10;HAIZEA;  634;14,001
11;MAIALEN;  600;13,25
12;PAULA;  561;12,389
13;NORA;  553;12,212
14;NOA;  548;12,102
15;MALEN;  539;11,903
16;IRAIA;  530;11,704
17;MARTINA;  470;10,379
18;SARA;  459;10,136
19;NAROA;  451;9,96
20;LEIRE;  443;9,783
21;ENARA;  421;9,297
22;MADDI;  409;9,032
23;PAULE;  347;7,663
24;AITANA;  335;7,398
25;ALAIA;  325;7,177
26;GARAZI;  313;6,912
27;NEREA;  310;6,846
28;MAIDER;  308;6,802
29;UDANE;  308;6,802
30;EIDER;  306;6,758
31;ELENE;  300;6,625
32;SOFIA;  299;6,603
33;LIBE;  298;6,581
34;AINHIZE;  294;6,493
35;ARIANE;  294;6,493
36;MARIA;  293;6,471
37;AIALA;  289;6,382
38;DANIELA;  287;6,338
39;AROA;  279;6,161
40;ALBA;  270;5,963
41;JARE;  251;5,543
42;ELAIA;  250;5,521
43;IRENE;  249;5,499
44;ADRIANA;  235;5,19
45;JONE;  227;5,013
46;ALAZNE;  212;4,682
47;IZADI;  208;4,593
48;MAREN;  205;4,527
49;IZAR;  202;4,461
50;ANNE;  201;4,439
51;OIHANE;  200;4,417
52;NIKOLE;  193;4,262
53;AMAIA;  191;4,218
54;EMMA;  183;4,041
55;ALIZE;  182;4,019
56;CARLA;  178;3,931
57;INES;  172;3,798
58;CLAUDIA;  171;3,776
59;OLAIA;  170;3,754
60;ALAITZ;  167;3,688
61;MARA;  165;3,644
62;SARE;  158;3,489
63;LUR;  157;3,467
64;LAIDA;  153;3,379
65;OLATZ;  140;3,092
66;VALERIA;  140;3,092
67;MIREN;  136;3,003
68;LAURA;  134;2,959
69;IRIA;  132;2,915
70;AINARA;  131;2,893
71;JULIA;  131;2,893
72;AINHOA;  130;2,871
73;AIORA;  130;2,871
74;NAIARA;  130;2,871
75;LEA;  129;2,849
76;IRUNE;  126;2,783
77;ENERITZ;  125;2,76
78;NILE;  124;2,738
79;MAITANE;  122;2,694
80;MAIA;  121;2,672
81;ILARGI;  120;2,65
82;LEIZE;  119;2,628
83;IRAIDE;  117;2,584
84;OLIVIA;  112;2,473
85;IXONE;  111;2,451
86;HAIZENE;  109;2,407
87;JULENE;  108;2,385
88;ZOE;  108;2,385
89;CHLOE;  107;2,363
90;KATALIN;  104;2,297
91;LOREA;  102;2,253
92;VERA;  101;2,23
93;ALEJANDRA;  100;2,208
94;ANDREA;  97;2,142
95;NAHIKARI;  97;2,142
96;ELENA;  93;2,054
97;MARINA;  90;1,988
98;ARENE;  88;1,943
99;ARHANE;  88;1,943
100;SAIOA;  88;1,943
101;KATTALIN;  87;1,921
102;LARA;  86;1,899
103;ANA;  84;1,855
104;ARAITZ;  84;1,855
105;NAGORE;  83;1,833
106;VALENTINA;  80;1,767
107;ARRATE;  79;1,745
108;CARMEN;  79;1,745
109;VEGA;  78;1,723
110;JOANE;  73;1,612
111;CARLOTA;  70;1,546
112;GABRIELA;  69;1,524
113;ITXASO;  69;1,524
114;MIA;  69;1,524
115;VICTORIA;  69;1,524
116;EVA;  68;1,502
117;XARE;  67;1,48
118;MARTA;  66;1,458
119;YAIZA;  62;1,369
120;ALAINE;  61;1,347
121;HELENE;  61;1,347
122;ARANE;  60;1,325
123;ARAIA;  58;1,281
124;AIARA;  57;1,259
125;AISHA;  57;1,259
126;AMAIUR;  57;1,259
127;NATALIA;  57;1,259
128;ERIKA;  56;1,237
129;LEXURI;  56;1,237
130;IBONE;  54;1,193
131;LEYRE;  52;1,148
132;MAITE;  52;1,148
133;IARA;  51;1,126
134;JANIRE;  50;1,104
135;ALICIA;  49;1,082
136;NADIA;  49;1,082
137;ZAIRA;  47;1,038
138;IRADI;  46;1,016
139;ANGELA;  45;0,994
140;NEKANE;  45;0,994
141;HEGOA;  44;0,972
142;LIA;  44;0,972
143;LOLA;  44;0,972
144;LUNA;  44;0,972
145;SAMIRA;  44;0,972
146;NAIRA;  42;0,928
147;CLARA;  41;0,905
148;MARIANA;  41;0,905
149;ARIADNE;  40;0,883
150;ARIANNE;  40;0,883
151;CANDELA;  40;0,883
152;YARA;  40;0,883
153;CRISTINA;  39;0,861
154;IZANE;  39;0,861
155;OIHANA;  39;0,861
156;YASMIN;  39;0,861
157;ALMA;  38;0,839
158;ITZIAR;  38;0,839
159;MIKELE;  38;0,839
160;ARAI;  37;0,817
161;AYA;  37;0,817
162;CAROLINA;  37;0,817
163;CELIA;  37;0,817
164;KARLA;  37;0,817
165;MAGALI;  37;0,817
166;MIRARI;  37;0,817
167;AIZA;  36;0,795
168;ISABELLA;  36;0,795
169;MARIAM;  36;0,795
170;AMANE;  35;0,773
171;ARIADNA;  35;0,773
172;BEGOÑA;  35;0,773
173;FATIMA;  35;0,773
174;ITSASNE;  35;0,773
175;ITXASNE;  35;0,773
176;LARRAITZ;  35;0,773
177;SARAY;  35;0,773
178;AIURI;  34;0,751
179;EDURNE;  34;0,751
180;MALAK;  34;0,751
181;SALMA;  34;0,751
182;SUA;  34;0,751
183;AYALA;  33;0,729
184;BERA;  33;0,729
185;ITSASO;  33;0,729
186;JIMENA;  33;0,729
187;NAYRA;  33;0,729
188;TRIANA;  33;0,729
189;AMIRA;  32;0,707
190;HELENA;  32;0,707
191;LINA;  32;0,707
192;MIREIA;  32;0,707
193;ONINTZE;  32;0,707
194;ZURIÑE;  32;0,707
195;ALEXIA;  31;0,685
196;DANIELLA;  31;0,685
197;ELSA;  31;0,685
198;EUNATE;  31;0,685
199;NICOLE;  31;0,685
200;ADARA;  30;0,663
201;AZAHARA;  30;0,663
202;EUKENE;  30;0,663
203;ZIORTZA;  30;0,663
204;ARIXEN;  29;0,64
205;ELISA;  29;0,64
206;JULE;  29;0,64
207;LEIA;  29;0,64
208;MANUELA;  29;0,64
209;ANDERE;  28;0,618
210;ARIANA;  28;0,618
211;GOIZANE;  28;0,618
212;ISABEL;  28;0,618
213;MARWA;  28;0,618
214;ONEKA;  28;0,618
215;TERESA;  28;0,618
216;AIZENE;  27;0,596
217;ALEXANDRA;  27;0,596
218;LEIZURI;  27;0,596
219;LIDE;  27;0,596
220;ARGIA;  26;0,574
221;DIANA;  26;0,574
222;HENAR;  26;0,574
223;INTZA;  26;0,574
224;IRATXE;  26;0,574
225;KIARA;  26;0,574
226;LEIXURI;  26;0,574
227;SANDRA;  26;0,574
228;ESTHER;  25;0,552
229;GISELA;  25;0,552
230;IZARE;  25;0,552
231;ROCIO;  25;0,552
232;UXIA;  25;0,552
233;ZEIANE;  25;0,552
234;AINIZE;  24;0,53
235;ARRIETA;  24;0,53
236;CLOE;  24;0,53
237;MAULE;  24;0,53
238;AFRIKA;  23;0,508
239;JOANA;  23;0,508
240;JUDITH;  23;0,508
241;NARA;  23;0,508
242;NARE;  23;0,508
243;UZURI;  23;0,508
244;ENEA;  22;0,486
245;ERIN;  22;0,486
246;GALA;  22;0,486
247;GOIURI;  22;0,486
248;SAMARA;  22;0,486
249;ZALOA;  22;0,486
250;ZIHARA;  22;0,486
251;ABRIL;  21;0,464
252;AINTZANE;  21;0,464
253;AMARA;  21;0,464
254;IONE;  21;0,464
255;KIRA;  21;0,464
256;LAIENE;  21;0,464
257;MENCIA;  21;0,464
258;AFRICA;  20;0,442
259;AMETS;  20;0,442
260;AYLEN;  20;0,442
261;BIDATZ;  20;0,442
262;EIRE;  20;0,442
263;MICHELLE;  20;0,442
264;NAIMA;  20;0,442
265;PAOLA;  20;0,442
266;PATRICIA;  20;0,442
267;SIRATS;  20;0,442
268;ZELAI;  20;0,442
269;ANA MARIA;  19;0,42
270;ASHLEY;  19;0,42
271;EKIÑE;  19;0,42
272;IRINA;  19;0,42
273;SHEILA;  19;0,42
274;SILVIA;  19;0,42
275;YASMINA;  19;0,42
276;AIA;  18;0,398
277;AITZIBER;  18;0,398
278;ELIA;  18;0,398
279;EURI;  18;0,398
280;GRETA;  18;0,398
281;INDIRA;  18;0,398
282;IZARGI;  18;0,398
283;MICAELA;  18;0,398
284;NAHIANE;  18;0,398
285;TASNIM;  18;0,398
286;TATIANA;  18;0,398
287;YADIRA;  18;0,398
288;ALDARA;  17;0,375
289;ARIA;  17;0,375
290;ARYA;  17;0,375
291;CATALINA;  17;0,375
292;EIRA;  17;0,375
293;GADEA;  17;0,375
294;IRIS;  17;0,375
295;ITZEL;  17;0,375
296;KATIXA;  17;0,375
297;KEIRA;  17;0,375
298;MATXALEN;  17;0,375
299;MONICA;  17;0,375
300;NAILA;  17;0,375
301;NERE;  17;0,375
302;SARAH;  17;0,375
303;ABIGAIL;  16;0,353
304;AIZANE;  16;0,353
305;ANTIA;  16;0,353
306;ARWA;  16;0,353
307;AYELEN;  16;0,353
308;ESTIBALIZ;  16;0,353
309;GORANE;  16;0,353
310;KAREN;  16;0,353
311;KARLE;  16;0,353
312;LIERNI;  16;0,353
313;MADALEN;  16;0,353
314;MAYA;  16;0,353
315;RAQUEL;  16;0,353
316;SARAI;  16;0,353
317;SELENE;  16;0,353
318;UMA;  16;0,353
319;AMELIA;  15;0,331
320;AMINA;  15;0,331
321;CAYETANA;  15;0,331
322;DAMARIS;  15;0,331
323;DEIENE;  15;0,331
324;INDIA;  15;0,331
325;INGE;  15;0,331
326;JARA;  15;0,331
327;KHADIJA;  15;0,331
328;LORENA;  15;0,331
329;LUZIA;  15;0,331
330;MAI;  15;0,331
331;NINBE;  15;0,331
332;NOAH;  15;0,331
333;AMAYA;  14;0,309
334;ANAIS;  14;0,309
335;ANTONELLA;  14;0,309
336;BASMA;  14;0,309
337;BLANCA;  14;0,309
338;CAMILA;  14;0,309
339;DANELE;  14;0,309
340;DUNIXE;  14;0,309
341;GAROA;  14;0,309
342;HIBA;  14;0,309
343;ILLARE;  14;0,309
344;IUNE;  14;0,309
345;JADE;  14;0,309
346;LENA;  14;0,309
347;NOELIA;  14;0,309
348;NOUR;  14;0,309
349;REBECA;  14;0,309
350;RIM;  14;0,309
351;USUNE;  14;0,309
352;AKANE;  13;0,287
353;AMETSA;  13;0,287
354;ANI;  13;0,287
355;ARGI;  13;0,287
356;BIDANE;  13;0,287
357;DESIREE;  13;0,287
358;HAIZE;  13;0,287
359;ISRAA;  13;0,287
360;JUGATX;  13;0,287
361;KAYLA;  13;0,287
362;LUKENE;  13;0,287
363;MAR;  13;0,287
364;MIRIAM;  13;0,287
365;SOPHIA;  13;0,287
366;TANIA;  13;0,287
367;TELMA;  13;0,287
368;AICHA;  12;0,265
369;AIZEA;  12;0,265
370;AIZPEA;  12;0,265
371;AMAL;  12;0,265
372;AMALUR;  12;0,265
373;AMANDA;  12;0,265
374;ANNA;  12;0,265
375;AYLA;  12;0,265
376;CECILIA;  12;0,265
377;DAFNE;  12;0,265
378;EKHIÑE;  12;0,265
379;EMILY;  12;0,265
380;EVELYN;  12;0,265
381;IBANE;  12;0,265
382;IDAIRA;  12;0,265
383;KELTSE;  12;0,265
384;KEYLA;  12;0,265
385;LEILA;  12;0,265
386;LIDIA;  12;0,265
387;MELANI;  12;0,265
388;NAYELI;  12;0,265
389;NURIA;  12;0,265
390;SIMONE;  12;0,265
391;SIRA;  12;0,265
392;SOFIA MARIA;  12;0,265
393;SONIA;  12;0,265
394;SORAYA;  12;0,265
395;UXURI;  12;0,265
396;XUHARE;  12;0,265
397;ADA;  11;0,243
398;AGUEDA;  11;0,243
399;AIXA;  11;0,243
400;AURORA;  11;0,243
401;ELISABETH;  11;0,243
402;EZTIZEN;  11;0,243
403;IGONE;  11;0,243
404;INAS;  11;0,243
405;IZARBE;  11;0,243
406;JAIONE;  11;0,243
407;JANET;  11;0,243
408;JOSUNE;  11;0,243
409;LAILA;  11;0,243
410;MAIANE;  11;0,243
411;MAIER;  11;0,243
412;MAIRI;  11;0,243
413;MALENA;  11;0,243
414;NUR;  11;0,243
415;VERONICA;  11;0,243
416;YANELI;  11;0,243
417;YANIRA;  11;0,243
418;YOMARA;  11;0,243
419;ADHARA;  10;0,221
420;AINHITZ;  10;0,221
421;ALANA;  10;0,221
422;AMALE;  10;0,221
423;ANAHI;  10;0,221
424;ANASTASIA;  10;0,221
425;AUNITZ;  10;0,221
426;BEATRIZ;  10;0,221
427;BERTA;  10;0,221
428;BIANCA;  10;0,221
429;DINA;  10;0,221
430;EKIA;  10;0,221
431;HIDAYA;  10;0,221
432;IERA;  10;0,221
433;IHINTZA;  10;0,221
434;ILAZKI;  10;0,221
435;IMAN;  10;0,221
436;LAIATZ;  10;0,221
437;MADDALEN;  10;0,221
438;MAIKA;  10;0,221
439;MARENE;  10;0,221
440;MARIA CARMEN;  10;0,221
441;MATILDA;  10;0,221
442;NAOMI;  10;0,221
443;ORIANA;  10;0,221
444;PILAR;  10;0,221
445;RUBI;  10;0,221
446;SHAILA;  10;0,221
447;TERESE;  10;0,221
448;YERA;  10;0,221
449;YOUSRA;  10;0,221
450;ZOIHARTZE;  10;0,221
451;ADELE;  9;0,199
452;AILEN;  9;0,199
453;AINE;  9;0,199
454;ARLET;  9;0,199
455;ASIA;  9;0,199
456;AWA;  9;0,199
457;CHIARA;  9;0,199
458;DANAE;  9;0,199
459;DARA;  9;0,199
460;DAYANA;  9;0,199
461;DUNA;  9;0,199
462;ELBA;  9;0,199
463;ELIZABETH;  9;0,199
464;FATOU;  9;0,199
465;GOIATZ;  9;0,199
466;IDOIA;  9;0,199
467;IHARA;  9;0,199
468;IKERNE;  9;0,199
469;IRANTZU;  9;0,199
470;IZEL;  9;0,199
471;KEILA;  9;0,199
472;LORE;  9;0,199
473;MARYAM;  9;0,199
474;MIKAELA;  9;0,199
475;MIREN AMAIUR;  9;0,199
476;NAIALA;  9;0,199
477;NOOR;  9;0,199
478;RUTH;  9;0,199
479;SAMANTHA;  9;0,199
480;SARAYMA;  9;0,199
481;SOIARTZE;  9;0,199
482;THALIA;  9;0,199
483;ALAA;  8;0,177
484;ANITZ;  8;0,177
485;ARABIA;  8;0,177
486;BIHOTZA;  8;0,177
487;CATALEYA;  8;0,177
488;DANNA;  8;0,177
489;DEBA;  8;0,177
490;EHARI;  8;0,177
491;ELORA;  8;0,177
492;GENTZANE;  8;0,177
493;IZARNE;  8;0,177
494;JANA;  8;0,177
495;JENNIFER;  8;0,177
496;JESSICA;  8;0,177
497;LEAH;  8;0,177
498;LIBERTAD;  8;0,177
499;LUISA;  8;0,177
500;MAIXA;  8;0,177
501;MARE;  8;0,177
502;MELANY;  8;0,177
503;MELODY;  8;0,177
504;MIREN AMETS;  8;0,177
505;NAZARET;  8;0,177
506;OHIANE;  8;0,177
507;OLGA;  8;0,177
508;ONINTZA;  8;0,177
509;SAFA;  8;0,177
510;SAFAA;  8;0,177
511;SALOME;  8;0,177
512;SAMIA;  8;0,177
513;SOL;  8;0,177
514;SOPHIE;  8;0,177
515;SUE;  8;0,177
516;SUHAILA;  8;0,177
517;UXUNE;  8;0,177
518;VIOLETA;  8;0,177
519;YASMINE;  8;0,177
520;ZUBEROA;  8;0,177
521;ABRAR;  7;0,155
522;AINA;  7;0,155
523;ALLENDE;  7;0,155
524;ALLISON;  7;0,155
525;ARGIÑE;  7;0,155
526;ARIMA;  7;0,155
527;CORAIMA;  7;0,155
528;DANA;  7;0,155
529;DORLETA;  7;0,155
530;ESTELA;  7;0,155
531;GOIZARGI;  7;0,155
532;HAJAR;  7;0,155
533;IDURRE;  7;0,155
534;INGRID;  7;0,155
535;ISMENE;  7;0,155
536;ISRAE;  7;0,155
537;IZARRA;  7;0,155
538;IZASKUN;  7;0,155
539;JANNAT;  7;0,155
540;JUDIT;  7;0,155
541;KALA;  7;0,155
542;KHLOE;  7;0,155
543;LOHIZUNE;  7;0,155
544;LUA;  7;0,155
545;LUJAN;  7;0,155
546;LYA;  7;0,155
547;MAE;  7;0,155
548;MARIA ANGELES;  7;0,155
549;MARIE;  7;0,155
550;MELANIE;  7;0,155
551;MIAH;  7;0,155
552;MIRANDA;  7;0,155
553;NIRA;  7;0,155
554;NOEMI;  7;0,155
555;SABINA;  7;0,155
556;SABRINA;  7;0,155
557;SARA MARIA;  7;0,155
558;SELENA;  7;0,155
559;SHIARA;  7;0,155
560;SIRIN;  7;0,155
561;SOFIA ELENA;  7;0,155
562;WISSAL;  7;0,155
563;XENIA;  7;0,155
564;XIOMARA;  7;0,155
565;YASHIRA;  7;0,155
566;ZAINAB;  7;0,155
567;AIDA;  6;0,133
568;AINES;  6;0,133
569;ALIA;  6;0,133
570;ALMIKE;  6;0,133
571;CASILDA;  6;0,133
572;ELEN;  6;0,133
573;ESTEFANIA;  6;0,133
574;EUGENIA;  6;0,133
575;FATIMA ZAHRA;  6;0,133
576;GAIA;  6;0,133
577;GETARI;  6;0,133
578;GOIZEDER;  6;0,133
579;HIART;  6;0,133
580;IARE;  6;0,133
581;ICIAR;  6;0,133
582;INDARA;  6;0,133
583;IRIDE;  6;0,133
584;ISABELA;  6;0,133
585;JAQUELINE;  6;0,133
586;JOAR;  6;0,133
587;JULIETA;  6;0,133
588;KATRIN;  6;0,133
589;KIMA;  6;0,133
590;MANAL;  6;0,133
