Nº;Nombre;Total;Por mil (‰)
263;ALEXIS;  12;0,235
264;ASER;  12;0,235
265;ASIS;  12;0,235
266;ETXAHUN;  12;0,235
267;JON IMANOL;  12;0,235
268;JOSEBA ANDONI;  12;0,235
269;JUAN CARLOS;  12;0,235
270;MARTZEL;  12;0,235
271;YASIN;  12;0,235
272;ADUR;  11;0,216
273;ANAS;  11;0,216
274;ARTURO;  11;0,216
275;CESAR;  11;0,216
276;ELIAS;  11;0,216
277;GARTZEN;  11;0,216
278;GILLEN;  11;0,216
279;JOAQUIN;  11;0,216
280;JONAN;  11;0,216
281;KAI;  11;0,216
282;LEO;  11;0,216
283;LIAM;  11;0,216
284;TASIO;  11;0,216
285;URDAX;  11;0,216
286;ADAN;  10;0,196
287;AKIER;  10;0,196
288;ALESANDER;  10;0,196
289;ARNAITZ;  10;0,196
290;BELTRAN;  10;0,196
291;ERLAITZ;  10;0,196
292;ILLAN;  10;0,196
293;INAZIO;  10;0,196
294;JEREMY;  10;0,196
295;JOSUE;  10;0,196
296;JUAN BOSCO;  10;0,196
297;MIKEL AINGERU;  10;0,196
298;NOAH;  10;0,196
299;ORTZI;  10;0,196
300;XIKER;  10;0,196
301;XUBAN;  10;0,196
302;ANDIMA;  9;0,177
303;ANDREI;  9;0,177
304;AYMAN;  9;0,177
305;EKHIOTZ;  9;0,177
306;ERNESTO;  9;0,177
307;JOSE MIGUEL;  9;0,177
308;JULIAN;  9;0,177
309;LUR;  9;0,177
310;MATIAS;  9;0,177
311;OLIVER;  9;0,177
312;SIMON;  9;0,177
313;TELLO;  9;0,177
314;XABI;  9;0,177
315;YOUSSEF;  9;0,177
316;ALEN;  8;0,157
317;BENJAMIN;  8;0,157
318;EINAR;  8;0,157
319;GANEKO;  8;0,157
320;HAMZA;  8;0,157
321;IGARKI;  8;0,157
322;JAIRO;  8;0,157
323;JESUS MARIA;  8;0,157
324;JONAY;  8;0,157
325;KARLOS;  8;0,157
326;KENAI;  8;0,157
327;MARTXEL;  8;0,157
328;MARWAN;  8;0,157
329;MAURO;  8;0,157
330;MIKELATS;  8;0,157
331;PATRIK;  8;0,157
