;sexe;prenom;index;nombre
213;2;LINA;37492;157
214;2;ARIANNE;29793;156
215;2;AFRICA;37975;156
216;2;RUTH;29919;155
217;2;AMIRA;27972;155
218;2;EUNATE;25031;154
219;2;MARIAM;36572;151
220;2;XARE;18633;151
221;2;ALEXIA;29863;150
222;2;JULE;29029;150
223;2;BEGOÑA;23116;148
224;2;SARAI;29243;147
225;2;ZIORTZA;16303;145
226;2;NOEMI;30115;145
227;2;AMANE;23137;144
228;2;MANUELA;37393;143
229;2;EUKENE;30334;142
230;2;TANIA;29049;141
231;2;ARAI;29441;141
232;2;JOSUNE;30461;138
233;2;JAIONE;24869;137
234;2;MARIANA;32550;136
235;2;IONE;30031;135
236;2;ALEXANDRA;29976;134
237;2;HENAR;29968;133
238;2;SONIA;24818;132
239;2;MAIER;30492;130
240;2;AMETS;28549;130
241;2;ISABELLA;36900;127
242;2;VERONICA;29287;127
243;2;KIARA;30031;126
244;2;MALENA;30186;125
245;2;LORE;14795;123
246;2;ARIANA;30063;122
247;2;SORAYA;23693;119
248;2;NICOLE;25582;119
249;2;ANA MARIA;28959;117
250;2;AINIZE;25157;115
251;2;SAMARA;30403;113
252;2;CECILIA;23696;110
253;2;AMARA;19708;110
254;2;ONEKA;29862;107
255;2;CLOE;37773;107
256;2;SAMIRA;18689;107
257;2;YASMINA;30198;107
258;2;LAIENE;15840;106
259;2;ITXASNE;12078;104
260;2;MADDALEN;21693;103
261;2;ONINTZE;10974;102
262;2;EKHIÑE;30488;98
263;2;DANIELLA;23100;98
264;2;IHINTZA;29184;98
265;2;NOAH;30000;97
266;2;GORANE;16645;96
267;2;TRIANA;28609;96
268;2;MAGALI;14680;95
269;2;ONINTZA;21518;94
270;2;KATIXA;26567;93
271;2;KIRA;27089;93
272;2;AMALUR;22791;92
273;2;AMINA;23635;92
274;2;AIDA;16520;92
275;2;KHADIJA;27820;92
276;2;ANDERE;5369;91
277;2;JENNIFER;16471;91
278;2;SARAH;28703;91
279;2;AZAHARA;29955;90
280;2;CATALINA;37980;90
281;2;UXIA;30010;90
282;2;AFRIKA;23894;89
283;2;ADARA;34162;89
284;2;GISELA;24862;89
285;2;MIKELE;22593;89
286;2;SUA;26086;88
287;2;ZALOA;11202;87
288;2;NOUR;16661;87
289;2;ABRIL;25110;86
290;2;CAYETANA;33451;86
291;2;JESSICA;24701;85
292;2;IUNE;30071;85
293;2;GALA;32944;85
294;2;BIDANE;28731;85
295;2;ELIA;30551;84
296;2;AIURI;25108;84
297;2;NARA;25263;83
298;2;TELMA;28965;82
299;2;AICHA;30501;80
300;2;GAROA;23582;78
301;2;GOIURI;22609;78
302;2;MAR;19340;78
303;2;MARIA CARMEN;24037;78
304;2;HIBA;23198;77
305;2;LYDIA;24436;76
306;2;DESIREE;24141;76
307;2;ANIA;20811;76
308;2;ANAIS;25437;75
309;2;NERE;14823;74
310;2;ILAZKI;27893;74
311;2;ELISABETH;29523;74
312;2;ZIHARA;14869;74
313;2;MIREN AMAIUR;21560;74
314;2;NAIMA;29034;73
315;2;NAHIANE;30802;73
316;2;IRINA;25518;72
317;2;GOIATZ;23717;72
318;2;AYALA;6541;71
319;2;YANIRE;25228;70
320;2;EIRE;14905;70
321;2;NAZARET;26254;69
322;2;BIDATZ;22508;69
323;2;MIREYA;24384;69
324;2;IGONE;16716;69
325;2;ESTELA;29165;68
326;2;LEIZURI;6159;68
327;2;SUSANA;20643;68
328;2;JARA;29625;67
329;2;YANIRA;29248;66
330;2;IMAN;23931;66
331;2;ARGIA;22507;66
332;2;MENCIA;13550;66
333;2;KEIRA;24253;66
334;2;GARBIÑE;24293;65
335;2;ENEA;19094;65
336;2;ANE MIREN;13304;64
337;2;BERA;21500;64
338;2;RANIA;31175;64
339;2;ERIN;16113;64
340;2;AIZPEA;15461;64
341;2;ARWA;22572;64
342;2;ICIAR;19778;64
343;2;BERTA;24142;64
344;2;KAREN;29219;63
345;2;AMAL;27936;63
346;2;SELENE;15696;63
347;2;UZURI;16424;62
348;2;XUNE;21934;62
349;2;IZANE;17164;61
350;2;BASMA;23440;61
351;2;MICHELLE;22763;60
352;2;NATALE;9522;60
353;2;ISRAA;16841;59
354;2;BELEN;19287;59
355;2;ALMUDENA;15699;59
356;2;LAILA;30402;59
357;2;AIXA;29148;59
358;2;INAS;23489;58
359;2;MAYA;24607;58
360;2;PILAR;19110;58
361;2;TASNIM;16952;57
362;2;DAFNE;25248;57
363;2;AMANDA;19033;57
