;prenom;nombre
322;BIDATZ;69
323;MIREYA;69
324;IGONE;69
325;ESTELA;68
326;LEIZURI;68
327;SUSANA;68
328;JARA;67
329;YANIRA;66
330;IMAN;66
331;ARGIA;66
332;MENCIA;66
333;KEIRA;66
334;GARBIÑE;65
335;ENEA;65
336;ANE MIREN;64
337;BERA;64
338;RANIA;64
339;ERIN;64
340;AIZPEA;64
341;ARWA;64
342;ICIAR;64
343;BERTA;64
344;KAREN;63
345;AMAL;63
346;SELENE;63
347;UZURI;62
348;XUNE;62
349;IZANE;61
350;BASMA;61
351;MICHELLE;60
352;NATALE;60
353;ISRAA;59
354;BELEN;59
355;ALMUDENA;59
356;LAILA;59
357;AIXA;59
358;INAS;58
359;MAYA;58
360;PILAR;58
361;TASNIM;57
362;DAFNE;57
363;AMANDA;57
364;EKIA;56
365;ASHLEY;56
366;JUNCAL;56
367;MATXALEN;56
368;RIM;56
369;AMETSA;56
370;FATIMA ZAHRA;55
371;INDIA;55
372;ANI;55
373;UMA;55
374;ARANTZA;55
375;ITZEL;55
376;LEIA;55
377;TATIANA;55
378;JUDIT;54
379;GOIZEDER;54
380;DANA;53
381;AYELEN;53
382;NAYELI;53
383;HAJAR;53
384;VIRGINIA;52
385;LENA;52
386;MERCEDES;51
387;JUGATX;51
388;GRETA;51
389;AIZA;51
390;DAMARIS;50
391;XUHARE;50
392;ALDARA;50
393;INDIRA;50
394;ANNA;50
395;OLGA;50
396;LETICIA;49
397;OSKIA;49
398;LUA;49
399;IRACHE;49
400;GORETTI;49
401;GADEA;48
402;UXURI;48
403;THALIA;48
404;AIA;48
405;IERA;47
406;ARRIETA;47
407;DEIANE;47
408;YERA;47
409;ANTIA;46
410;VANESA;45
411;ESTEFANIA;45
412;NARE;45
413;MARENE;44
414;VIOLETA;44
415;IZARNE;44
416;DINA;44
417;IBANE;43
418;IDAIRA;43
419;ARANTXA;43
420;AMELIA;43
421;JANA;42
422;SAFAA;42
423;TAMARA;42
424;YASMINE;42
425;PALOMA;42
426;ARIXEN;42
427;ELORRI;42
428;JASONE;41
429;AYLA;41
430;DEIENE;41
431;EUGENIA;41
432;MAI;41
433;MARIA CRISTINA;41
434;NAOMI;41
435;IDURRE;41
436;IKERNE;41
437;MICAELA;41
438;CAMILA;41
439;MAULE;40
440;MARIA TERESA;40
441;SIRA;40
442;LUZIA;40
443;EZTIZEN;40
444;AINITZE;40
445;SOPHIA;39
446;MARIA ISABEL;39
447;ABIGAIL;39
448;ANITZ;39
449;HAFSA;38
450;ELIZABETH;38
451;IANIRE;38
452;IZARBE;38
453;AYLEN;38
454;NUR;38
455;MAIKA;38
456;ANTONELLA;38
457;DESIRE;38
458;NAYLA;37
459;AURORA;37
460;EVELYN;36
461;IZARE;36
462;LEILA;36
463;ARIA;36
464;IZARGI;36
465;KRISTINA;36
466;ZEIANE;36
467;EURI;35
468;OHIANE;35
469;ARIANNA;35
470;NINBE;35
471;MADALEN;35
472;ADA;35
473;ELBA;35
474;ARYA;34
475;MIKAELA;34
