;sexe;prenom;nombre
124;1;ALBERTO;364
125;1;OSCAR;363
126;1;XABAT;361
127;1;SANTIAGO;360
128;1;ODEI;360
129;1;JESUS;356
130;1;KOLDO;354
131;1;RAYAN;343
132;1;AGER;341
133;1;INHAR;337
134;1;BORJA;336
135;1;EKAI;329
136;1;KERMAN;328
137;1;MANUEL;325
138;1;IRAI;322
139;1;CRISTIAN;315
140;1;EDUARDO;307
141;1;GARI;305
142;1;INAR;294
143;1;ERIC;287
144;1;KEVIN;283
145;1;OMAR;281
146;1;PEDRO;279
147;1;DYLAN;277
148;1;ANARTZ;276
149;1;FRANCISCO JAVIER;274
150;1;ANDRES;270
151;1;JOANES;266
152;1;AIERT;259
153;1;JORITZ;259
154;1;LUKAS;257
155;1;CHRISTIAN;257
156;1;MARC;257
157;1;AXEL;257
158;1;GAEL;256
159;1;JAKES;247
160;1;ANTONIO;246
161;1;LIAM;245
162;1;KEPA;243
163;1;JOSE;242
164;1;YAGO;238
165;1;MATTIN;235
166;1;FERNANDO;231
167;1;KAIET;231
168;1;RODRIGO;230
169;1;NOAH;225
170;1;ALAN;222
171;1;HAITZ;221
172;1;OLIVER;219
173;1;EGOI;211
174;1;ZUHAITZ;209
175;1;IBAN;208
176;1;FERMIN;208
177;1;XABI;207
178;1;JONATHAN;205
179;1;THIAGO;203
180;1;TOMAS;203
181;1;ANAS;201
182;1;SENDOA;201
183;1;SAUL;198
184;1;YOUSSEF;198
185;1;RAFAEL;197
186;1;ENRIQUE;189
187;1;ISAAC;189
188;1;AMIR;183
189;1;MAREN;181
190;1;YERAI;179
191;1;ETHAN;178
192;1;MATIAS;177
193;1;DARIO;176
194;1;IAGO;176
195;1;KAI;172
196;1;GARIKOITZ;170
197;1;DENIS;165
198;1;IOSU;164
199;1;MIGUEL ANGEL;159
200;1;ALAI;157
201;1;JAGOBA;155
202;1;TEO;154
203;1;ELIAS;154
204;1;ROBERTO;153
205;1;EINAR;149
206;1;MARKO;147
207;1;NIKO;146
208;1;AMETZ;144
209;1;AYMAN;143
210;1;IMRAN;142
211;1;JURGI;142
212;1;NIKOLAS;137
213;1;LUAR;135
214;1;SEBASTIAN;130
215;1;AYOUB;128
216;1;MARTXEL;127
217;1;PELLO;125
218;1;NEIZAN;125
219;1;ENAI;125
220;1;MARK;123
221;1;ADAY;122
222;1;ISRAEL;119
223;1;ABRAHAM;116
224;1;ELOY;115
225;1;EUKEN;115
226;1;JOSE MARIA;114
227;1;ARETX;112
228;1;KILIAN;111
229;1;AURITZ;110
230;1;LIZAR;109
231;1;TASIO;109
232;1;PATXI;107
233;1;JOSE LUIS;107
234;1;FRANCISCO;106
235;1;PAU;106
236;1;ERITZ;105
237;1;BRIAN;104
238;1;CESAR;103
239;1;SUHAR;103
240;1;XUHAR;102
241;1;AKETZA;102
242;1;XIKER;102
243;1;HARRIET;101
244;1;KEMEN;99
245;1;IELTXU;99
246;1;ZAKARIA;99
247;1;XANET;98
248;1;BILAL;97
249;1;ANTON;96
250;1;UR;96
251;1;ELEDER;95
252;1;YASSIN;95
253;1;ARTURO;95
254;1;JOSE ANTONIO;94
255;1;LUR;93
256;1;AHMED;92
257;1;ENETZ;91
258;1;RICARDO;91
259;1;AKETX;91
260;1;YOEL;90
261;1;HARKAITZ;90
262;1;ALI;90
263;1;TXOMIN;88
264;1;ABEL;86
265;1;ANJE;85
266;1;GONTZAL;84
267;1;AMAIUR;82
268;1;OXEL;82
269;1;JOAN;81
270;1;KENAI;81
271;1;YOUNES;81
272;1;JUAN JOSE;80
273;1;BITTOR;80
274;1;IBRAHIM;80
275;1;HARRI;80
276;1;NIKOLA;79
277;1;MAURO;79
278;1;EDORTA;78
279;1;SIMON;75
280;1;HAMZA;75
281;1;XAVIER;75
282;1;JUAN PABLO;75
283;1;ALFONSO;75
284;1;EIDEN;75
285;1;MOHAMMED;74
286;1;GERMAN;74
287;1;WALID;74
288;1;IZAI;73
289;1;BOSCO;73
290;1;FELIX;73
291;1;RAMON;73
292;1;JOSUE;72
293;1;ARAN;71
294;1;AMIN;71
295;1;JULIO;70
296;1;BRYAN;69
297;1;ALEN;69
298;1;JOAQUIN;68
299;1;ILYAS;68
300;1;NESTOR;67
301;1;OROITZ;67
302;1;JOSE MANUEL;67
303;1;EIDAN;67
304;1;ANTTON;66
305;1;TXABER;65
306;1;ETXAHUN;64
307;1;ERICK;63
308;1;JAIRO;63
309;1;MOHAMED AMIN;62
310;1;URKI;61
311;1;ZIGOR;60
312;1;YASSER;60
313;1;BRAIS;60
314;1;JOSE MIGUEL;60
315;1;ELUR;60
316;1;JOHN;59
317;1;IYAD;58
318;1;ALEIX;58
319;1;ORTZI;57
320;1;ISMAIL;57
321;1;AKRAM;56
322;1;SAMI;56
323;1;JULIAN;56
324;1;NICO;55
325;1;HAIMAR;55
326;1;MICHAEL;54
327;1;POL;54
328;1;BINGEN;54
329;1;IGOTZ;54
330;1;NIZAR;53
331;1;SAAD;53
332;1;JON MIKEL;53
333;1;ADAN;53
334;1;GILEN;53
335;1;SUGOI;52
336;1;JANITZ;51
337;1;LEONARDO;51
338;1;OSKAR;51
339;1;GANIX;50
340;1;AIDAN;48
341;1;ALONSO;47
342;1;IOAR;47
343;1;EMILIO;47
344;1;ANTXON;47
345;1;AXIER;47
346;1;ROKE;47
347;1;EDGAR;46
348;1;JUAN MANUEL;46
349;1;ANAITZ;46
350;1;EZEQUIEL;46
351;1;ELIAN;45
352;1;EIHAR;44
353;1;KARIM;44
354;1;NOEL;44
355;1;AETZ;43
356;1;JONATAN;43
357;1;PAULO;43
358;1;MARTZEL;43
359;1;NAKOR;42
360;1;ANDEKA;42
361;1;ALATZ;42
362;1;YASIN;41
363;1;JUAN CARLOS;41
364;1;SANCHO;40
365;1;ESTEBAN;40
366;1;ALFREDO;38
367;1;UHAITZ;38
368;1;JEREMY;38
369;1;JOSE JAVIER;38
370;1;ROMAN;37
371;1;NATHAN;37
372;1;IZOTZ;37
373;1;TRISTAN;36
374;1;ORIOL;36
375;1;ISKANDER;36
376;1;SABIN;35
377;1;MARWAN;35
378;1;JUAN DAVID;35
379;1;REDA;35
380;1;AXULAR;35
381;1;GOTZON;34
382;1;JUAN ANTONIO;34
383;1;MATTEO;33
384;1;JON ANDONI;33
385;1;NABIL;33
386;1;EMMANUEL;33
387;1;HEIKO;32
388;1;MAIKEL;32
389;1;BELTRAN;32
390;1;YURI;32
391;1;IPAR;32
392;1;LUIS MIGUEL;32
393;1;JOSE IGNACIO;32
394;1;YAHYA;32
395;1;TIAGO;32
396;1;MAEL;32
397;1;EMANUEL;31
398;1;ONATZ;31
399;1;EVAN;31
400;1;LUCCA;31
401;1;ANWAR;31
402;1;HARAN;31
403;1;ANDREI;30
404;1;ALEXIS;30
405;1;YASSINE;30
406;1;HARON;29
407;1;DEREK;29
408;1;ASER;29
409;1;URIEL;29
410;1;ILIAS;28
411;1;EIZAN;28
412;1;GEXAN;28
413;1;CHRISTOPHER;28
414;1;KIRMEN;27
415;1;BENJAMIN;27
416;1;ANDOITZ;27
417;1;PATRIK;27
418;1;DAMIAN;27
419;1;ARES;26
420;1;BRAYAN;26
421;1;EDAHI;26
422;1;EKHIOTZ;26
423;1;MARKOS;25
424;1;IRAULTZA;25
425;1;MAX;25
426;1;URDAX;25
427;1;ANDDE;25
428;1;MOUAD;25
429;1;PELAYO;25
430;1;IURGI;25
431;1;ZIYAD;24
432;1;AIMAN;24
433;1;YASSIR;24
434;1;NAIM;24
435;1;SAMIR;24
436;1;YAEL;24
437;1;COSME;24
438;1;ERLAITZ;24
439;1;GERARD;24
440;1;JOSE RAMON;23
441;1;ARAY;23
442;1;GENTZA;23
443;1;MAXIMO;23
444;1;OSKITZ;23
445;1;NACHO;23
446;1;AGUSTIN;23
447;1;AKIER;23
448;1;MOISES;23
449;1;INDAR;23
450;1;FABIO;22
451;1;JURDAN;22
452;1;THEO;22
453;1;ARON;22
454;1;XANTI;22
455;1;MAIU;22
456;1;ASIS;22
457;1;ISHAK;21
458;1;KRISTIAN;21
459;1;ALLUITZ;21
460;1;HAIZE;21
461;1;UDAI;21
462;1;ARAI;21
463;1;IXAI;21
464;1;SUSTRAI;21
465;1;MATHIAS;21
466;1;YOUSEF;21
467;1;MOHAMED AMINE;21
468;1;FELIPE;21
469;1;OUSSAMA;21
470;1;EDUR;20
471;1;VALENTIN;20
472;1;JOAR;20
473;1;YUSEF;20
474;1;JONAY;20
475;1;DANI;20
476;1;AIDEN;20
477;1;MOUHAMED;20
478;1;ANIR;20
479;1;DENNIS;19
480;1;INAZIO;19
481;1;ACHRAF;19
482;1;WASIM;19
483;1;ORKATZ;19
484;1;MOUSSA;19
485;1;NOE;19
486;1;XOEL;19
487;1;SAID;18
488;1;BADR;18
489;1;ALEJO;18
490;1;ARITZA;18
491;1;ANAI;18
492;1;ENAR;17
493;1;ORHI;17
494;1;OIHER;17
495;1;ANOUAR;17
496;1;MANU;17
497;1;ZEIAN;17
498;1;ION ANDER;17
499;1;SALIM;17
500;1;JORDAN;17
501;1;ITOITZ;17
502;1;AIEKO;17
503;1;GILLEN;17
504;1;TIRSO;17
