;sexe;prenom;dpt;nombre
228;1;AUGUSTE;64;51
229;1;CYRIL;64;51
230;1;SAM;64;50
231;1;XALBAT;64;49
232;1;SAMY;64;49
233;1;JASON;64;48
234;1;XAVIER;64;48
235;1;YAN;64;47
236;1;MARC;64;47
237;1;MARCEL;64;46
238;1;ELIO;64;46
239;1;MORGAN;64;46
240;1;YANNIS;64;45
241;1;ARMAND;64;45
242;1;NASSIM;64;44
243;1;LINO;64;44
244;1;IKER;64;44
245;1;NAIM;64;43
246;1;JOSHUA;64;43
247;1;SWANN;64;43
248;1;GEXAN;64;41
249;1;MARLEY;64;40
250;1;AMINE;64;40
251;1;EKAITZ;64;40
252;1;MARIN;64;39
253;1;BRICE;64;39
254;1;ALAN;64;39
255;1;MALONE;64;38
256;1;AYMERIC;64;38
257;1;CEDRIC;64;37
258;1;LEANDRE;64;37
259;1;FRANCOIS;64;36
260;1;EZIO;64;36
261;1;LUDOVIC;64;36
262;1;KYLLIAN;64;36
263;1;ADRIAN;64;36
264;1;MARCUS;64;36
265;1;GASTON;64;35
266;1;ALI;64;35
267;1;EDOUARD;64;35
268;1;BILAL;64;35
269;1;COME;64;35
270;1;ELIE;64;34
271;1;TIM;64;34
272;1;ARSENE;64;34
273;1;CESAR;64;34
274;1;ANDDE;64;33
275;1;SANDRO;64;33
276;1;HENRI;64;32
277;1;TANGUY;64;32
278;1;FABIO;64;31
279;1;NOHAM;64;31
280;1;AYOUB;64;31
281;1;DANIEL;64;31
282;1;STEVEN;64;30
283;1;MARCEAU;64;30
284;1;MARCO;64;30
285;1;ENOHA;64;30
286;1;ANGELO;64;30
287;1;LOIS;64;29
288;1;AMAIUR;64;29
289;1;SWAN;64;29
290;1;EVANN;64;29
291;1;NILS;64;29
292;1;ANDREA;64;29
293;1;LEOPOLD;64;28
294;1;ENAUT;64;28
295;1;ISMAEL;64;28
296;1;YASSINE;64;28
297;1;NEO;64;28
298;1;LUC;64;28
299;1;ARITZ;64;27
300;1;EMMANUEL;64;27
301;1;LEONARD;64;27
302;1;SAMI;64;25
303;1;GILEN;64;25
304;1;ALLAN;64;25
305;1;NOLANN;64;25
306;1;MAYRON;64;25
307;1;IBRAHIM;64;25
308;1;AMETS;64;25
309;1;OLIVIER;64;25
310;1;WASSIM;64;24
311;1;ELOUAN;64;24
312;1;IMRAN;64;24
313;1;LOU;64;24
314;1;MELVIN;64;24
315;1;YOUNES;64;24
316;1;ROMAN;64;23
317;1;SANTIAGO;64;23
318;1;TYMEO;64;23
319;1;ILIAN;64;23
320;1;CHRISTOPHE;64;23
321;1;HAYDEN;64;23
322;1;MATIAS;64;22
323;1;YLAN;64;22
324;1;LUIS;64;22
325;1;HODEI;64;22
326;1;GUSTAVE;64;22
327;1;MANOA;64;21
328;1;HECTOR;64;21
329;1;YOHANN;64;21
330;1;GAUTIER;64;21
331;1;SOREN;64;21
332;1;PEYO;64;21
333;1;BRUNO;64;20
334;1;ERIC;64;20
335;1;NOAN;64;20
336;1;SOLAL;64;20
337;1;ILYAN;64;20
338;1;MIGUEL;64;20
339;1;WALID;64;20
340;1;ENAITZ;64;20
341;1;ANAS;64;19
342;1;JEREMIE;64;19
343;1;ABEL;64;19
344;1;YANNICK;64;19
345;1;ISSA;64;19
346;1;ODEI;64;18
347;1;ALOIS;64;18
348;1;JAMES;64;18
349;1;ANATOLE;64;17
350;1;MATYS;64;17
351;1;BENAT;64;17
352;1;LOUCAS;64;17
353;1;JONAS;64;17
354;1;LIVIO;64;17
355;1;AYMEN;64;16
356;1;HAMZA;64;16
357;1;LOUP;64;16
358;1;LOUKAS;64;16
359;1;KAYDEN;64;16
360;1;AUBIN;64;15
361;1;EDGAR;64;15
362;1;OCTAVE;64;15
363;1;EMILIEN;64;15
364;1;MARVIN;64;15
365;1;GREGORY;64;15
366;1;RONAN;64;15
367;1;WYATT;64;15
368;1;AIDAN;64;15
369;1;STEPHANE;64;15
370;1;YAEL;64;15
371;1;ANDER;64;14
372;1;LUTXO;64;14
373;1;FREDERIC;64;14
374;1;JUAN;64;14
375;1;MATTHIS;64;14
376;1;NAHIL;64;14
377;1;LAURENT;64;14
378;1;MATT;64;14
379;1;GAIZKA;64;14
380;1;COLIN;64;14
381;1;PIERRICK;64;14
382;1;JOANES;64;14
383;1;CHRISTOPHER;64;13
384;1;ILHAN;64;13
385;1;RUDY;64;13
386;1;JOSE;64;13
387;1;EKAIN;64;13
388;1;JACQUES;64;13
389;1;TXEMA;64;13
390;1;NATHAEL;64;13
391;1;THIMEO;64;12
392;1;ZAKARIA;64;12
393;1;MALIK;64;12
394;1;MATTIS;64;12
395;1;MIKE;64;12
396;1;ANGE;64;12
397;1;MYLAN;64;12
398;1;NOHAN;64;12
399;1;EKHI;64;12
400;1;JAYDEN;64;12
401;1;LOUISON;64;12
402;1;PEDRO;64;12
403;1;MICHAEL;64;11
404;1;GIANNI;64;11
405;1;EMILIO;64;11
406;1;HADRIEN;64;11
407;1;MARLON;64;11
408;1;XANTI;64;11
409;1;ALEXY;64;11
410;1;MILANN;64;11
411;1;BRANDON;64;11
412;1;AIDEN;64;11
413;1;JEROME;64;11
414;1;NELSON;64;11
415;1;ARNO;64;11
416;1;AYLAN;64;11
417;1;CAMERON;64;10
418;1;GEORGES;64;10
419;1;JAN;64;10
420;1;MARWAN;64;10
421;1;ANDY;64;10
422;1;ANTONY;64;10
423;1;KAIET;64;10
424;1;ISAIAH;64;10
425;1;GIOVANNI;64;10
426;1;TEDDY;64;10
427;1;ALESSIO;64;10
428;1;MELVYN;64;10
429;1;RAYANE;64;9
430;1;ALIX;64;9
431;1;ZACK;64;9
432;1;STANISLAS;64;9
433;1;CHARLI;64;9
434;1;ESTEBE;64;9
435;1;YOUSSEF;64;9
436;1;MAELAN;64;9
437;1;KILYAN;64;9
438;1;MANUEL;64;9
439;1;IAN;64;9
440;1;ANDONY;64;9
441;1;JOAO;64;9
442;1;MATISSE;64;8
443;1;LEHO;64;8
444;1;EZRA;64;8
445;1;TOMAS;64;8
446;1;JIMMY;64;8
447;1;CALVIN;64;8
448;1;KASSIM;64;8
449;1;MEDHI;64;8
450;1;MAXIM;64;8
451;1;SOFIAN;64;8
452;1;AYMAN;64;7
453;1;MYLO;64;7
454;1;EWAN;64;7
455;1;BETTAN;64;7
456;1;ZACHARIE;64;7
457;1;JOACHIM;64;7
458;1;PAKO;64;7
459;1;ERWANN;64;7
460;1;ALESSANDRO;64;7
461;1;PAULIN;64;7
462;1;BRAYAN;64;7
463;1;PETTAN;64;7
464;1;IVAN;64;7
465;1;FRANCK;64;7
466;1;ILYAS;64;7
467;1;PANPI;64;7
468;1;KELIAN;64;7
469;1;ENAEL;64;7
470;1;ELYO;64;7
471;1;ANDRE;64;7
472;1;MERLIN;64;7
473;1;ANTONIO;64;7
474;1;MAYLONE;64;7
475;1;MATTHEW;64;7
476;1;AEDAN;64;6
477;1;YACINE;64;6
478;1;ANDREAS;64;6
479;1;ARKAITZ;64;6
480;1;THEODORE;64;6
481;1;OIER;64;6
482;1;FABRICE;64;6
483;1;MIKAEL;64;6
484;1;PHILIPPE;64;6
485;1;JOLAN;64;6
486;1;CLOVIS;64;6
487;1;JACK;64;6
488;1;MAXIMILIEN;64;6
489;1;JAROD;64;6
490;1;EKI;64;6
491;1;PASCAL;64;6
492;1;JASSIM;64;6
493;1;ANIS;64;6
494;1;PIERRE-JEAN;64;6
495;1;ANAEL;64;6
496;1;IORITZ;64;6
497;1;KEMEN;64;6
498;1;TINO;64;6
499;1;GILLEN;64;6
500;1;GEOFFREY;64;6
501;1;MILHAN;64;6
502;1;ELOI;64;6
503;1;MOHAMMED;64;6
504;1;AURELE;64;6
505;1;YAZID;64;6
506;1;ERNEST;64;6
507;1;NABIL;64;6
508;1;ELOAN;64;6
509;1;YANISS;64;6
510;1;ALBIN;64;6
511;1;GIULIAN;64;6
512;1;DARIO;64;6
513;1;ZIYAD;64;6
514;1;GABY;64;6
515;1;BALTHAZAR;64;6
516;1;WARREN;64;6
517;1;HARITZ;64;6
518;1;MYLANN;64;5
519;1;KENTIN;64;5
520;1;FLAVIEN;64;5
521;1;ELIJAH;64;5
522;1;DENIS;64;4
523;1;PIO;64;4
524;1;ADEM;64;4
525;1;MARKEL;64;4
526;1;HELIOS;64;4
527;1;SILAS;64;4
528;1;GONCALO;64;4
529;1;CELIAN;64;4
530;1;ALAIN;64;4
531;1;YASSIR;64;4
532;1;KELVIN;64;4
533;1;TOAN;64;4
534;1;TILIO;64;4
535;1;EYDEN;64;4
536;1;NOHA;64;4
537;1;LOUAN;64;4
538;1;CORTO;64;4
539;1;JULIANN;64;4
540;1;BETTI;64;4
541;1;LOICK;64;4
542;1;LELIO;64;4
543;1;JOHANE;64;4
544;1;JOE;64;4
545;1;LISANDRO;64;4
546;1;ANSELME;64;4
547;1;PATRICK;64;4
548;1;THIERRY;64;4
549;1;MATTIA;64;4
550;1;ETAN;64;4
551;1;KEZIAH;64;4
552;1;WESLEY;64;3
553;1;WAEL;64;3
554;1;TARIK;64;3
555;1;ZACHARY;64;3
556;1;SOEN;64;3
557;1;TOMMY;64;3
558;1;THEOPHILE;64;3
559;1;VIVIEN;64;3
560;1;TONI;64;3
561;1;VIRGILE;64;3
562;1;SOANN;64;3
563;1;THEAU;64;3
564;1;VIKTOR;64;3
565;1;TYLER;64;3
566;1;YONI;64;3
567;1;WILFRIED;64;3
568;1;TYRON;64;3
569;1;STAN;64;3
570;1;SOULEYMANE;64;3
571;1;ZAYN;64;3
572;1;YVAN;64;3
573;1;KHALIL;64;3
574;1;SAMAEL;64;3
575;1;FLORENTIN;64;3
576;1;ELIAN;64;3
577;1;EMERIC;64;3
578;1;EWENN;64;3
579;1;EZEKIEL;64;3
580;1;EZEQUIEL;64;3
581;1;EZZIO;64;3
582;1;FAUSTIN;64;3
583;1;FELIPE;64;3
584;1;FERDINAND;64;3
585;1;FLAVIO;64;3
586;1;GEOFFROY;64;3
587;1;JOAKIN;64;3
588;1;GIANI;64;3
589;1;GWENAEL;64;3
590;1;GWENDAL;64;3
591;1;HAROUN;64;3
592;1;HARRY;64;3
593;1;HATIM;64;3
594;1;HEIKO;64;3
595;1;IANIS;64;3
596;1;ISMAIL;64;3
597;1;ISSAM;64;3
598;1;ELI;64;3
599;1;EBAN;64;3
600;1;DRISS;64;3
601;1;DIOGO;64;3
602;1;ADONIS;64;3
603;1;ALEC;64;3
